unit_seq,order_id,unit_id,variant,route_id
1,328,U8198,FUSE0,p:1.1.2.2.2.2
2,328,U8199,FUSE0,p:2.1.1.2.1.2
3,328,U8200,FUSE0,p:1.1.3.1.2.2
4,328,U8201,FUSE0,p:2.1.4.1.2.2
5,328,U8202,FUSE0,p:1.1.5.1.2.2
6,328,U8203,FUSE0,p:2.1.2.2.1.2
7,328,U8204,FUSE0,p:1.1.1.1.2.2
8,328,U8205,FUSE0,p:2.1.3.1.2.2
9,328,U8206,FUSE0,p:1.2.4.1.2.2
10,328,U8207,FUSE1,p:2.1.5.1.2.2
11,328,U8208,FUSE1,p:1.1.2.2.1.2
12,328,U8209,FUSE1,p:2.1.3.1.2.2
13,328,U8210,FUSE1,p:1.1.4.1.2.2
14,328,U8211,FUSE1,p:2.1.1.1.2.2
15,328,U8212,FUSE1,p:1.1.5.1.2.2
16,328,U8213,FUSE1,p:2.1.2.1.2.2
17,328,U8214,FUSE1,p:1.1.3.1.2.2
18,328,U8215,FUSE1,p:2.1.4.1.2.2
19,328,U8216,FUSE2,p:1.1.1.1.2.2
20,328,U8217,FUSE2,p:2.1.5.1.2.2
21,328,U8218,FUSE2,p:1.1.3.1.2.2
22,328,U8219,FUSE2,p:2.1.2.1.2.2
23,328,U8220,FUSE2,p:1.1.4.1.2.2
24,328,U8221,FUSE2,p:2.1.1.1.2.2
25,328,U8222,FUSE2,p:1.1.5.1.2.2
26,328,U8223,FUSE2,p:2.1.3.1.2.2
27,328,U8224,FUSE2,p:1.1.2.2.2.2
28,328,U8225,FUSE2,p:2.1.4.1.2.2
29,51,U1268,FUSE0,p:1.2.1.2.2.2
30,51,U1269,FUSE0,p:2.1.5.1.2.2
31,51,U1270,FUSE0,p:1.1.3.1.2.2
32,51,U1271,FUSE0,p:2.1.2.2.2.2
33,51,U1272,FUSE0,p:1.1.4.1.2.2
34,51,U1273,FUSE0,p:2.1.1.2.2.2
35,51,U1274,FUSE0,p:1.1.5.1.2.2
36,51,U1275,FUSE0,p:2.1.3.1.2.2
37,51,U1276,FUSE0,p:1.1.4.1.2.2
38,51,U1277,FUSE1,p:2.1.1.1.2.2
39,51,U1278,FUSE1,p:1.1.2.2.2.2
40,51,U1279,FUSE1,p:2.1.5.1.2.2
41,51,U1280,FUSE1,p:1.1.3.1.2.2
42,51,U1281,FUSE1,p:2.1.4.1.2.2
43,51,U1282,FUSE1,p:1.2.1.1.2.2
44,51,U1283,FUSE1,p:2.1.2.1.2.2
45,51,U1284,FUSE1,p:1.1.5.1.2.2
46,51,U1285,FUSE2,p:2.1.3.1.2.2
47,51,U1286,FUSE2,p:1.2.4.1.2.2
48,51,U1287,FUSE2,p:2.1.1.1.2.2
49,51,U1288,FUSE2,p:1.1.2.1.2.2
50,51,U1289,FUSE2,p:2.1.5.1.2.2
51,51,U1290,FUSE2,p:1.1.3.1.2.2
52,51,U1291,FUSE2,p:2.1.4.1.2.2
53,51,U1292,FUSE2,p:1.1.1.2.2.2
54,51,U1293,FUSE2,p:2.1.2.1.2.2
55,303,U7573,FUSE0,p:1.1.5.1.2.2
56,303,U7574,FUSE0,p:2.1.3.1.2.2
57,303,U7575,FUSE0,p:1.1.4.1.2.2
58,303,U7576,FUSE0,p:2.1.5.1.2.2
59,303,U7577,FUSE0,p:1.2.1.2.2.2
60,303,U7578,FUSE0,p:2.1.2.1.2.2
61,303,U7579,FUSE0,p:1.1.3.1.2.2
62,303,U7580,FUSE0,p:2.1.4.1.2.2
63,303,U7581,FUSE1,p:1.1.5.1.2.2
64,303,U7582,FUSE1,p:2.1.1.2.2.2
65,303,U7583,FUSE1,p:1.1.2.1.2.2
66,303,U7584,FUSE1,p:2.1.4.1.2.2
67,303,U7585,FUSE1,p:1.1.3.1.2.2
68,303,U7586,FUSE1,p:2.1.5.1.2.2
69,303,U7587,FUSE1,p:1.2.1.2.2.2
70,303,U7588,FUSE1,p:2.1.2.1.2.2
71,303,U7589,FUSE2,p:1.1.3.1.2.2
72,303,U7590,FUSE2,p:2.1.4.1.2.2
73,303,U7591,FUSE2,p:1.2.5.1.2.2
74,303,U7592,FUSE2,p:2.1.2.1.2.2
75,303,U7593,FUSE2,p:1.1.1.2.2.2
76,303,U7594,FUSE2,p:2.1.3.1.2.2
77,303,U7595,FUSE2,p:1.1.4.1.2.2
78,303,U7596,FUSE2,p:2.1.5.1.2.2
79,90,U2224,FUSE0,p:1.1.1.2.2.2
80,90,U2225,FUSE0,p:2.1.2.1.2.2
81,90,U2226,FUSE0,p:1.1.3.1.2.2
82,90,U2227,FUSE0,p:2.1.4.1.2.2
83,90,U2228,FUSE0,p:1.1.1.2.2.2
84,90,U2229,FUSE0,p:2.1.2.1.2.2
85,90,U2230,FUSE0,p:1.1.5.1.2.2
86,90,U2231,FUSE0,p:2.1.3.1.2.2
87,90,U2232,FUSE1,p:1.1.4.1.2.2
88,90,U2233,FUSE1,p:2.1.1.2.2.2
89,90,U2234,FUSE1,p:1.1.2.1.2.2
90,90,U2235,FUSE1,p:2.1.5.1.2.2
91,90,U2236,FUSE1,p:1.1.3.1.2.2
92,90,U2237,FUSE1,p:2.1.4.1.2.2
93,90,U2238,FUSE1,p:1.1.1.2.2.2
94,90,U2239,FUSE1,p:2.1.2.1.2.2
95,90,U2240,FUSE2,p:1.1.5.1.2.2
96,90,U2241,FUSE2,p:2.1.3.1.2.2
97,90,U2242,FUSE2,p:1.1.4.1.2.2
98,90,U2243,FUSE2,p:2.1.1.2.2.2
99,90,U2244,FUSE2,p:1.2.2.1.2.2
100,90,U2245,FUSE2,p:2.1.5.1.2.2
101,90,U2246,FUSE2,p:1.1.3.1.2.2
102,90,U2247,FUSE2,p:2.1.4.1.2.2
103,129,U3211,FUSE0,p:1.1.1.1.2.2
104,129,U3212,FUSE0,p:2.1.2.1.2.2
105,129,U3213,FUSE0,p:1.1.5.1.2.2
106,129,U3214,FUSE0,p:2.1.3.1.2.2
107,129,U3215,FUSE0,p:1.1.1.1.2.2
108,129,U3216,FUSE0,p:2.1.2.1.2.2
109,129,U3217,FUSE1,p:1.1.4.1.2.2
110,129,U3218,FUSE1,p:2.1.5.1.2.2
111,129,U3219,FUSE1,p:1.1.3.1.2.2
112,129,U3220,FUSE1,p:2.1.1.1.2.2
113,129,U3221,FUSE1,p:1.1.2.1.2.2
114,129,U3222,FUSE1,p:2.1.4.1.2.2
115,129,U3223,FUSE2,p:1.1.5.1.2.2
116,129,U3224,FUSE2,p:2.1.3.1.2.2
117,129,U3225,FUSE2,p:1.2.1.1.2.2
118,129,U3226,FUSE2,p:2.1.2.1.2.2
119,129,U3227,FUSE2,p:1.1.4.1.2.2
120,129,U3228,FUSE2,p:2.1.5.1.2.2
121,76,U1914,FUSE2,p:1.1.3.1.2.2
122,76,U1915,FUSE2,p:2.1.1.1.2.2
123,76,U1916,FUSE2,p:1.1.2.1.2.2
124,224,U5607,FUSE0,p:2.1.4.1.2.2
125,224,U5608,FUSE0,p:1.1.5.1.2.2
126,224,U5609,FUSE0,p:2.1.3.1.2.2
127,224,U5610,FUSE0,p:1.1.1.1.2.2
128,224,U5611,FUSE0,p:2.1.2.1.2.2
129,224,U5612,FUSE0,p:1.1.4.1.2.2
130,224,U5613,FUSE0,p:2.1.3.1.2.2
131,224,U5614,FUSE0,p:1.1.5.1.2.2
132,224,U5615,FUSE1,p:2.1.1.1.2.2
133,224,U5616,FUSE1,p:1.2.2.1.2.2
134,224,U5617,FUSE1,p:2.1.4.1.2.2
135,224,U5618,FUSE1,p:1.1.5.1.2.2
136,224,U5619,FUSE1,p:2.1.3.1.2.2
137,224,U5620,FUSE1,p:1.1.1.1.2.2
138,224,U5621,FUSE1,p:2.1.2.1.2.2
139,224,U5622,FUSE1,p:1.1.4.1.2.2
140,224,U5623,FUSE2,p:2.1.5.1.2.2
141,224,U5624,FUSE2,p:1.1.3.1.2.2
142,224,U5625,FUSE2,p:2.1.1.1.2.2
143,224,U5626,FUSE2,p:1.1.2.1.2.2
144,224,U5627,FUSE2,p:2.1.4.1.2.2
145,224,U5628,FUSE2,p:1.1.5.1.2.2
146,224,U5629,FUSE2,p:2.1.3.1.2.2
147,224,U5630,FUSE2,p:1.1.1.1.2.2
148,157,U3910,FUSE0,p:2.1.2.1.2.2
149,157,U3911,FUSE0,p:1.1.4.1.2.2
150,157,U3912,FUSE0,p:2.1.5.1.2.2
151,157,U3913,FUSE0,p:1.1.3.1.2.2
152,157,U3914,FUSE0,p:2.1.2.1.2.2
153,157,U3915,FUSE0,p:1.1.4.1.2.2
154,157,U3916,FUSE0,p:2.1.1.1.2.2
155,157,U3917,FUSE1,p:1.1.5.1.2.2
