kpi_name,value
total_units_ordered,9
makespan_seconds,790.1
average_cycle_time_seconds,75.5625
cycle_time_from_1_over_throughput_seconds,87.7889
throughput_units_per_second,0.011391
throughput_units_per_hour,41.0075
average_flow_time_seconds,476.5
total_wait_time_seconds,2500.8
utilization_overall_station_1_bottom_cover,0.07518
utilization_active_window_station_1_bottom_cover,1.0
max_queue_station_1_bottom_cover,5
average_queue_station_1_bottom_cover,0.186812
average_wait_station_1_bottom_cover_seconds,16.4
utilization_overall_station_2_drill_station,0.118466
utilization_active_window_station_2_drill_station,1.0
max_queue_station_2_drill_station,3
average_queue_station_2_drill_station,0.173143
average_wait_station_2_drill_station_seconds,15.2
utilization_overall_station_3_robot_cell,0.842172
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,7
average_queue_station_3_robot_cell,2.805215
average_wait_station_3_robot_cell_seconds,246.2667
utilization_overall_station_4_inspection,0.023921
utilization_active_window_station_4_inspection,0.031157
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.0
average_wait_station_4_inspection_seconds,0.0
utilization_overall_station_5_top_cover,0.052398
utilization_active_window_station_5_top_cover,0.067969
max_queue_station_5_top_cover,1
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
utilization_overall_station_6_packaging,0.045564
utilization_active_window_station_6_packaging,0.059162
max_queue_station_6_packaging,1
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
order_qty_fuse0,3
order_qty_fuse1,3
order_qty_fuse2,3
simulation_time_seconds,3600.0
