material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,10634,100000,10634,89366,0
Fuse,10684,100000,10684,89316,0
PCB,10634,100000,10634,89366,0
Top cover,10634,100000,10634,89366,0
