station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,32644.0885,0.0,545910.397,22,0.07351,3.3113,15225.4098,4598,0.059205,0.059798,,
2,Station 1.1: Bottom cover,32169.2532,0.0,545924.1549,22,0.067262,2.4406,11212.0256,4594,0.058344,0.058926,,
3,Station 2: Drill station,92614.3586,45.6,545993.5549,42,0.138112,12.3718,106150.0945,8580,0.167971,0.16964,,
4,Station 2.1: Drill station,6427.2,72.2,542060.597,8,0.132472,1.5942,986.8,619,0.011657,0.011859,,
5,Station 3: Robot cell,551057.5549,95.0,551152.5549,19,8.790021,2819.3097,5424351.8669,1924,0.999429,1.0,,
6,Station 3.1: Robot cell,544198.8,135.0,546290.1549,9,5.014583,1635.7348,3140610.7582,1920,0.98699,0.996418,,
7,Station 3.2: Robot cell,548940.1654,181.6,550405.597,14,7.362123,2357.8303,4531749.8067,1922,0.995589,0.997667,,
8,Station 3.3: Robot cell,545703.4693,185.4,547789.3009,17,8.452169,2680.221,5127262.7992,1913,0.989719,0.99653,,
9,Station 3.4: Robot cell,541613.2,232.0,546554.397,7,3.230205,1109.089,2115032.6612,1907,0.9823,0.99138,,
10,Station 4: Inspection,18015.3806,377.6,551193.6549,10,0.006869,0.6648,5419.7284,8152,0.032674,0.032707,,
11,Station 4.1: Inspection,2181.4763,1834.0,550506.697,0,0.0,0.0007,0.7,1034,0.003956,0.003976,,
12,Station 5: Top cover,538.2,41215.1,506065.2549,0,0.0,0.0369,4.3581,118,0.000976,0.001158,,
13,Station 5.1: Top cover,43613.7907,510.7,551329.2549,13,0.024476,1.7185,15587.0149,9070,0.0791,0.07918,,
14,Station 6: Packaging,56.0,56490.1,362873.1316,0,0.0,0.0,0.0,14,0.000102,0.000183,,
15,Station 6.1: Packaging,36665.9536,554.3,551372.2549,0,0.0,0.0035,31.6791,9173,0.066499,0.066566,,
