material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9281,100000,9281,90719,0
Fuse,9331,100000,9331,90669,0
PCB,9281,100000,9281,90719,0
Top cover,9281,100000,9281,90719,0
