material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9480,100000,9500,90500,0
Fuse,9552,100000,9573,90427,0
PCB,9480,100000,9500,90500,0
Top cover,9480,100000,9500,90500,0
