disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
efficiency_loss,0.0,4.1,44.0,9274.0,9937.0
emergency_order,0.0,,0.0,12181.0,
emergency_order,0.0,,0.0,46316.0,
Bottom Cover Stuck,2392.0,1,0.0,53730.0,55787.0
efficiency_loss,0.0,4.1,69.0,61429.0,62043.0
inspection_failure,0.0,,0.0,73174.0,
Bottom Cover Misaligned,2288.0,1,0.0,76762.0,78678.0
efficiency_loss,0.0,4,44.0,90475.0,91156.0
Camera Dirty,2496.0,4.1,0.0,97465.0,99475.0
efficiency_loss,0.0,4,74.0,101140.0,101727.0
emergency_order,0.0,,0.0,117981.0,
inspection_failure,0.0,,0.0,131546.0,
PLC Failure,3312.0,6.1,0.0,140134.0,143000.0
Bottom Cover Misaligned,2288.0,1.1,0.0,154713.0,156269.0
Top Cover Misaligned,2288.0,5.2,0.0,159992.0,161693.0
efficiency_loss,0.0,5.1,62.0,164724.0,166173.0
efficiency_loss,0.0,5,57.0,168238.0,169467.0
efficiency_loss,0.0,2.2,11.0,175340.0,176077.0
Bottom Cover Misaligned,2288.0,1.1,0.0,179821.0,181578.0
Cover Wrong Orientation,8736.0,3.1,0.0,186066.0,193770.0
emergency_order,0.0,,0.0,186992.0,
efficiency_loss,0.0,5.2,42.0,221363.0,222736.0
emergency_order,0.0,,0.0,256250.0,
emergency_order,0.0,,0.0,257974.0,
Drill To Dull,9152.0,2,0.0,272836.0,281171.0
Top Cover Misaligned,2288.0,5.1,0.0,284963.0,286537.0
Top Cover Stuck,2392.0,5.2,0.0,290815.0,292882.0
Misaligned Material,10440.0,3.4,0.0,295269.0,302462.0
PLC Failure,3312.0,4,0.0,295467.0,298280.0
efficiency_loss,0.0,2,80.0,309630.0,310275.0
emergency_order,0.0,,0.0,313225.0,
emergency_order,0.0,,0.0,323311.0,
efficiency_loss,0.0,6,15.0,323448.0,323818.0
inspection_failure,0.0,,0.0,333293.0,
Top Cover Misaligned,2288.0,5,0.0,333419.0,335247.0
emergency_order,0.0,,0.0,335089.0,
emergency_order,0.0,,0.0,341637.0,
Drill To Dull,9152.0,2.1,0.0,344459.0,351152.0
Bottom Cover Stuck,2392.0,1.1,0.0,358110.0,360154.0
emergency_order,0.0,,0.0,358321.0,
PLC Failure,3312.0,5,0.0,359317.0,362152.0
efficiency_loss,0.0,1,14.0,361771.0,362654.0
Drill To Dull,9152.0,2.2,0.0,362252.0,368997.0
inspection_failure,0.0,,0.0,362669.0,
Misaligned Material,10440.0,3.2,0.0,362715.0,371330.0
emergency_order,0.0,,0.0,377294.0,
Misaligned Material,10440.0,3.3,0.0,380537.0,386856.0
Misaligned Material,10440.0,3,0.0,414357.0,423624.0
emergency_order,0.0,,0.0,420181.0,
emergency_order,0.0,,0.0,423737.0,
emergency_order,0.0,,0.0,426875.0,
emergency_order,0.0,,0.0,440577.0,
emergency_order,0.0,,0.0,448097.0,
emergency_order,0.0,,0.0,448409.0,
efficiency_loss,0.0,6.1,11.0,450226.0,450597.0
Misaligned Material,10440.0,3.1,0.0,453852.0,461191.0
Top Cover Stuck,2392.0,5,0.0,457424.0,459460.0
efficiency_loss,0.0,5,23.0,473551.0,475027.0
efficiency_loss,0.0,2.1,58.0,488365.0,489022.0
emergency_order,0.0,,0.0,491550.0,
PLC Failure,3312.0,4.1,0.0,492959.0,496031.0
efficiency_loss,0.0,5.1,44.0,496594.0,498000.0
emergency_order,0.0,,0.0,501844.0,
Top Cover Stuck,2392.0,5.1,0.0,515207.0,517383.0
Camera Dirty,2496.0,4,0.0,532059.0,534203.0
emergency_order,0.0,,0.0,535245.0,
PLC Failure,3312.0,1,0.0,549962.0,552587.0
emergency_order,0.0,,0.0,566674.0,
efficiency_loss,0.0,5.2,67.0,570114.0,571373.0
