disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
Bottom Cover Misaligned,2288.0,1.1,0.0,3222.0,5047.0
emergency_order,0.0,,0.0,3544.0,
emergency_order,0.0,,0.0,7644.0,
PLC Failure,3312.0,5,0.0,30360.0,33271.0
emergency_order,0.0,,0.0,30820.0,
emergency_order,0.0,,0.0,60288.0,
efficiency_loss,0.0,4.1,27.0,86348.0,87104.0
emergency_order,0.0,,0.0,102716.0,
emergency_order,0.0,,0.0,106897.0,
emergency_order,0.0,,0.0,108726.0,
Drill To Dull,9152.0,2.1,0.0,109341.0,116770.0
emergency_order,0.0,,0.0,117083.0,
emergency_order,0.0,,0.0,118382.0,
efficiency_loss,0.0,2,54.0,122277.0,122849.0
efficiency_loss,0.0,4,14.0,128468.0,129249.0
efficiency_loss,0.0,2.1,66.0,132863.0,133505.0
efficiency_loss,0.0,6.1,27.0,147330.0,147726.0
emergency_order,0.0,,0.0,152548.0,
efficiency_loss,0.0,4.1,88.0,158528.0,159160.0
emergency_order,0.0,,0.0,173287.0,
PLC Failure,3312.0,5.1,0.0,178228.0,181065.0
emergency_order,0.0,,0.0,190086.0,
emergency_order,0.0,,0.0,208641.0,
PLC Failure,3312.0,4,0.0,210594.0,213335.0
inspection_failure,0.0,,0.0,212883.0,
Misaligned Material,10440.0,3.2,0.0,237518.0,246718.0
efficiency_loss,0.0,5,20.0,238246.0,239475.0
Top Cover Misaligned,2288.0,5.2,0.0,244400.0,246147.0
efficiency_loss,0.0,1.1,83.0,247608.0,248541.0
Top Cover Stuck,2392.0,5,0.0,248394.0,250375.0
Top Cover Misaligned,2288.0,5.1,0.0,249285.0,251048.0
PLC Failure,3312.0,3.3,0.0,262304.0,265176.0
Drill Broke,20800.0,2.1,0.0,262509.0,276870.0
emergency_order,0.0,,0.0,267238.0,
Bottom Cover Stuck,2392.0,1.1,0.0,276179.0,278153.0
efficiency_loss,0.0,5.2,74.0,283373.0,284731.0
Camera Dirty,2496.0,4,0.0,283606.0,285489.0
emergency_order,0.0,,0.0,288826.0,
PLC Failure,3312.0,6,0.0,316296.0,319021.0
emergency_order,0.0,,0.0,318478.0,
Top Cover Stuck,2392.0,5.2,0.0,319899.0,321909.0
Misaligned Material,10440.0,3.1,0.0,326220.0,332061.0
inspection_failure,0.0,,0.0,347290.0,
Misaligned Material,10440.0,3,0.0,349717.0,357171.0
Misaligned Material,10440.0,3.4,0.0,349980.0,354304.0
Bottom Cover Stuck,2392.0,1,0.0,351754.0,353776.0
emergency_order,0.0,,0.0,352633.0,
emergency_order,0.0,,0.0,352671.0,
emergency_order,0.0,,0.0,355844.0,
emergency_order,0.0,,0.0,361848.0,
inspection_failure,0.0,,0.0,364511.0,
emergency_order,0.0,,0.0,375550.0,
Top Cover Misaligned,2288.0,5,0.0,378840.0,380609.0
efficiency_loss,0.0,5.2,63.0,384332.0,385953.0
emergency_order,0.0,,0.0,387924.0,
efficiency_loss,0.0,4,27.0,397498.0,398068.0
emergency_order,0.0,,0.0,430578.0,
Top Cover Stuck,2392.0,5.1,0.0,437030.0,438896.0
Camera Dirty,2496.0,4.1,0.0,441078.0,443167.0
Drill To Dull,9152.0,2,0.0,443615.0,451451.0
efficiency_loss,0.0,5.1,84.0,446624.0,447769.0
efficiency_loss,0.0,5,76.0,461930.0,463273.0
efficiency_loss,0.0,6,37.0,472592.0,472957.0
PLC Failure,3312.0,5.2,0.0,502073.0,504860.0
Drill To Dull,9152.0,2.2,0.0,503413.0,510555.0
PLC Failure,3312.0,1,0.0,504274.0,507286.0
inspection_failure,0.0,,0.0,513277.0,
Cover Wrong Orientation,8736.0,3.4,0.0,524564.0,532159.0
PLC Failure,3312.0,2.1,0.0,550069.0,552813.0
Bottom Cover Misaligned,2288.0,1,0.0,568692.0,570325.0
