disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
emergency_order,0.0,,0.0,8894.0,
Misaligned Material,5220.0,3,0.0,9832.0,13643.0
emergency_order,0.0,,0.0,14353.0,
efficiency_loss,0.0,5.2,56.0,17099.0,17637.0
PLC Failure,1656.0,5,0.0,30360.0,31815.0
Misaligned Material,5220.0,3.4,0.0,33137.0,36738.0
emergency_order,0.0,,0.0,37731.0,
efficiency_loss,0.0,4.1,25.0,40390.0,40762.0
emergency_order,0.0,,0.0,70119.0,
efficiency_loss,0.0,6,74.0,80590.0,80790.0
Cover Wrong Orientation,4368.0,3.1,0.0,86518.0,89437.0
efficiency_loss,0.0,2,25.0,114256.0,114578.0
emergency_order,0.0,,0.0,133748.0,
emergency_order,0.0,,0.0,142139.0,
Drill To Dull,4576.0,2,0.0,147817.0,151292.0
efficiency_loss,0.0,6.1,53.0,151907.0,152109.0
Bottom Cover Misaligned,1144.0,1.1,0.0,153319.0,154322.0
Bottom Cover Stuck,1196.0,1.1,0.0,167046.0,168001.0
emergency_order,0.0,,0.0,167055.0,
PLC Failure,1656.0,6,0.0,177371.0,178767.0
PLC Failure,1656.0,5.1,0.0,178228.0,179647.0
Misaligned Material,5220.0,3.1,0.0,192330.0,195374.0
efficiency_loss,0.0,5.2,64.0,201934.0,202673.0
emergency_order,0.0,,0.0,229044.0,
emergency_order,0.0,,0.0,232932.0,
efficiency_loss,0.0,5,20.0,236790.0,237404.0
PLC Failure,1656.0,4.1,0.0,240253.0,241703.0
Top Cover Stuck,1196.0,5,0.0,246938.0,247929.0
Top Cover Misaligned,1144.0,5.1,0.0,247867.0,248748.0
emergency_order,0.0,,0.0,256535.0,
efficiency_loss,0.0,1,22.0,274018.0,274467.0
Drill Broke,10400.0,2.1,0.0,311736.0,318241.0
emergency_order,0.0,,0.0,313348.0,
Camera Dirty,1248.0,4.1,0.0,331297.0,332249.0
emergency_order,0.0,,0.0,350455.0,
Bottom Cover Stuck,1196.0,1,0.0,351754.0,352765.0
inspection_failure,0.0,,0.0,353226.0,
emergency_order,0.0,,0.0,359287.0,
inspection_failure,0.0,,0.0,363962.0,
efficiency_loss,0.0,4.1,88.0,367961.0,368310.0
Top Cover Stuck,1196.0,5.2,0.0,369253.0,370272.0
emergency_order,0.0,,0.0,374105.0,
Top Cover Misaligned,1144.0,5,0.0,377384.0,378269.0
emergency_order,0.0,,0.0,378863.0,
Camera Dirty,1248.0,4,0.0,401846.0,402904.0
emergency_order,0.0,,0.0,405864.0,
emergency_order,0.0,,0.0,406243.0,
Top Cover Stuck,1196.0,5.1,0.0,434730.0,435663.0
efficiency_loss,0.0,5.1,84.0,443391.0,443963.0
Top Cover Misaligned,1144.0,5.2,0.0,458147.0,459133.0
efficiency_loss,0.0,5,76.0,459590.0,460261.0
emergency_order,0.0,,0.0,468818.0,
Drill To Dull,4576.0,2.2,0.0,470710.0,474595.0
efficiency_loss,0.0,4,24.0,488098.0,488466.0
Drill To Dull,4576.0,2.1,0.0,498178.0,501432.0
efficiency_loss,0.0,2.2,43.0,500562.0,500860.0
PLC Failure,1656.0,1,0.0,504274.0,505780.0
inspection_failure,0.0,,0.0,513277.0,
inspection_failure,0.0,,0.0,520861.0,
Misaligned Material,5220.0,3.2,0.0,558412.0,561740.0
emergency_order,0.0,,0.0,561011.0,
Bottom Cover Misaligned,1144.0,1,0.0,567186.0,568002.0
efficiency_loss,0.0,2.1,21.0,569724.0,570003.0
efficiency_loss,0.0,1.1,86.0,569751.0,570370.0
efficiency_loss,0.0,4,41.0,570453.0,570791.0
