station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28921.2,0.0,516465.2,22,0.057736,0.4159,1822.4,4382,0.055679,0.055998,,
2,Station 1.1: Bottom cover,28921.2,0.0,516567.6,22,0.057736,0.4159,1822.4,4382,0.055679,0.055987,,
3,Station 2: Drill station,85446.4,45.6,516637.0,8,0.010954,0.7556,6207.7,8216,0.164502,0.165404,,
4,Station 2.1: Drill station,5699.2,72.2,514113.2,8,0.149635,1.7566,962.6,548,0.010972,0.011087,,
5,Station 3: Robot cell,519036.4,95.0,519131.4,8,6.742009,2135.0265,3740566.4,1752,0.999255,1.0,,
6,Station 3.1: Robot cell,518897.2,135.0,519032.2,7,6.656571,2115.1809,3701566.6,1750,0.998987,1.0,,
7,Station 3.2: Robot cell,518844.4,181.6,519026.0,8,6.632839,2100.9029,3684983.6,1754,0.998885,1.0,,
8,Station 3.3: Robot cell,518958.4,185.4,519143.8,7,6.587464,2085.3597,3659806.2,1755,0.999105,1.0,,
9,Station 3.4: Robot cell,518651.6,232.0,518883.6,7,6.489447,2066.3241,3622266.2,1753,0.998514,1.0,,
10,Station 4: Inspection,15926.4,377.6,519244.9,0,0.0,0.0238,180.2,7584,0.030662,0.030695,,
11,Station 4.1: Inspection,2478.0,4682.4,517567.3,0,0.0,0.0132,15.6,1180,0.004771,0.004831,,
12,Station 5: Top cover,533.6,17149.1,379065.3,0,0.0,0.0,0.0,116,0.001027,0.001474,,
13,Station 5.1: Top cover,39780.8,510.7,519380.5,1,0.000231,0.101,873.7,8648,0.076586,0.076668,,
14,Station 6: Packaging,48.0,40427.5,280767.3,0,0.0,0.0,0.0,12,9.2e-05,0.0002,,
15,Station 6.1: Packaging,35008.0,554.3,519423.5,0,0.0,0.0016,13.6,8752,0.067398,0.06747,,
