station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491772.6,0.0,516306.9,34,1.000456,118.3637,519379.9,4388,0.944482,0.952481,,
2,Station 1.1: Bottom cover,491548.2,0.0,516264.9,34,0.968999,114.4643,502154.9,4387,0.944051,0.952124,,
3,Station 2: Drill station,517140.0,151.2,517291.2,13,8.146658,1518.5713,4452451.1,2932,0.993202,1.0,,
4,Station 2.1: Drill station,516786.4,191.2,517005.2,13,7.733447,1456.6116,4267872.0,2930,0.992523,0.999947,,
5,Station 2.2: Drill station,515548.8,303.4,516547.9,13,4.474512,869.3648,2541153.3,2923,0.990146,0.998652,,
6,Station 3: Robot cell,519370.0,367.0,519795.6,9,4.677072,1529.9338,2695743.3,1762,0.997485,0.999887,,
7,Station 3.1: Robot cell,519544.4,447.0,520062.2,9,4.045066,1360.0861,2384230.9,1753,0.99782,0.999864,,
8,Station 3.2: Robot cell,518993.6,599.2,519636.0,8,4.265607,1405.0479,2475694.4,1762,0.996762,0.999917,,
9,Station 3.3: Robot cell,518289.6,603.8,519173.6,6,2.730682,953.3841,1677956.1,1760,0.99541,0.99946,,
10,Station 3.4: Robot cell,518190.4,800.6,519167.2,6,3.061862,1051.5164,1852771.9,1762,0.995219,0.99966,,
11,Station 4: Inspection,516146.4,649.6,520238.8,2,0.247725,83.9491,369040.2,4396,0.991294,0.993374,,
12,Station 4.1: Inspection,514500.0,966.4,519920.8,2,0.221132,80.3459,352075.8,4382,0.988132,0.991417,,
13,Station 5: Top cover,509367.2,1300.2,520278.0,0,0.0,9.6363,28147.6,2921,0.978274,0.981482,,
14,Station 5.1: Top cover,510590.8,1015.8,520206.6,0,0.0,10.074,29496.6,2928,0.980624,0.983436,,
15,Station 5.2: Top cover,511989.2,878.2,520524.6,0,0.0,13.0419,38291.0,2936,0.98331,0.985265,,
16,Station 6: Packaging,507152.0,1448.8,520401.6,0,0.0,36.4992,159830.2,4379,0.974019,0.97726,,
17,Station 6.1: Packaging,509472.0,1092.0,520679.6,1,0.004546,37.7739,166167.4,4399,0.978475,0.980531,,
