material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,10156,100000,10156,89844,0
Fuse,10185,100000,10185,89815,0
PCB,10156,100000,10156,89844,0
Top cover,10156,100000,10156,89844,0
