station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,535075.6818,0.0,562413.2,34,1.398221,172.6049,834372.0332,4834,0.944839,0.951392,,
2,Station 1.1: Bottom cover,533763.4917,0.0,562301.0,34,1.383803,168.1629,811890.3074,4828,0.942522,0.949249,,
3,Station 2: Drill station,564687.6293,151.2,564944.4,24,9.480746,1767.1523,5782122.3425,3272,0.997128,0.999813,,
4,Station 2.1: Drill station,562344.1724,191.2,563313.2247,15,7.409922,1417.291,4570763.4281,3225,0.99299,0.998619,,
5,Station 2.2: Drill station,560026.6971,303.4,563111.7619,18,4.237346,836.8825,2711499.2592,3240,0.988898,0.995058,,
6,Station 3: Robot cell,564906.8,367.0,565716.7619,13,3.984947,1325.9267,2642571.8501,1993,0.997515,0.999216,,
7,Station 3.1: Robot cell,563742.0219,447.0,565123.1619,9,3.129667,1087.9713,2156359.0256,1982,0.995458,0.998346,,
8,Station 3.2: Robot cell,562068.1389,599.2,565045.2008,9,3.111558,1069.5707,2128445.6197,1990,0.992502,0.995787,,
9,Station 3.3: Robot cell,559168.1073,603.8,565381.4,8,2.168432,785.9287,1558496.6915,1983,0.987381,0.990068,,
10,Station 3.4: Robot cell,551398.3888,800.6,565487.1619,4,0.773079,364.4986,706762.7261,1939,0.973662,0.976468,,
11,Station 4: Inspection,559296.144,649.6,565873.3619,8,1.453457,227.7566,1103480.5153,4845,0.987608,0.989513,,
12,Station 4.1: Inspection,549593.8158,966.4,565618.0,6,0.707086,138.5652,657076.0215,4742,0.970475,0.973333,,
13,Station 5: Top cover,540708.1412,1300.2,565805.4,10,0.530993,131.1324,414640.4968,3162,0.954785,0.957844,,
14,Station 5.1: Top cover,551136.9764,1015.8,566029.5619,5,0.209727,86.0868,277888.2634,3228,0.9732,0.97544,,
15,Station 5.2: Top cover,558555.6569,878.2,566159.1619,6,1.198473,273.8764,896945.2558,3275,0.9863,0.988103,,
16,Station 6: Packaging,540006.3216,1448.8,566224.5619,2,0.019227,36.7977,174163.5208,4733,0.953546,0.956143,,
17,Station 6.1: Packaging,549870.3198,1092.0,566314.1619,9,0.378003,83.349,402408.9486,4828,0.970963,0.972839,,
