material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9379,100000,9379,90621,0
Fuse,9445,100000,9445,90555,0
PCB,9379,100000,9379,90621,0
Top cover,9379,100000,9379,90621,0
