kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2902
produced_units_fuse1,2898
produced_units_fuse2,2964
makespan_seconds,520483.9
average_cycle_time_seconds,59.3319
cycle_time_from_1_over_throughput_rate_seconds,59.3889
throughput_rate_per_second,0.016838
throughput_rate_per_hour,60.6174
average_throughput_time_seconds,917.8021
average_active_throughput_time_seconds,917.8021
average_throughput_efficiency,0.357013
total_wait_time_seconds,1895018.5
average_cycle_time_seconds_fuse0,178.6643
Active_average_cycle_time_seconds_fuse0,162.0292
global_average_cycle_time_seconds_fuse0,162.0292
average_cycle_time_seconds_fuse1,178.9832
Active_average_cycle_time_seconds_fuse1,162.9037
global_average_cycle_time_seconds_fuse1,162.9037
average_cycle_time_seconds_fuse2,175.153
Active_average_cycle_time_seconds_fuse2,167.8099
global_average_cycle_time_seconds_fuse2,167.8099
utilization_overall_station_1_bottom_cover,0.055617
utilization_active_window_station_1_bottom_cover,0.055749
max_queue_station_1_bottom_cover,6
average_queue_station_1_bottom_cover,0.004788
average_wait_station_1_bottom_cover_seconds,0.0427
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.055515
utilization_active_window_station_1_1_bottom_cover,0.055646
max_queue_station_1_1_bottom_cover,6
average_queue_station_1_1_bottom_cover,0.004796
average_wait_station_1_1_bottom_cover_seconds,0.043
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.162609
utilization_active_window_station_2_drill_station,0.162984
max_queue_station_2_drill_station,2
average_queue_station_2_drill_station,0.001106
average_wait_station_2_drill_station_seconds,0.6896
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.012508
utilization_active_window_station_2_1_drill_station,0.012547
max_queue_station_2_1_drill_station,2
average_queue_station_2_1_drill_station,0.007987
average_wait_station_2_1_drill_station_seconds,0.1294
availability_station_2_1_drill_station,1.0
utilization_overall_station_3_robot_cell,0.999259
utilization_active_window_station_3_robot_cell,0.999863
max_queue_station_3_robot_cell,2
average_queue_station_3_robot_cell,0.363842
average_wait_station_3_robot_cell_seconds,292.2655
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.998597
utilization_active_window_station_3_1_robot_cell,0.999819
max_queue_station_3_1_robot_cell,1
average_queue_station_3_1_robot_cell,0.253664
average_wait_station_3_1_robot_cell_seconds,242.2312
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.997874
utilization_active_window_station_3_2_robot_cell,0.999722
max_queue_station_3_2_robot_cell,2
average_queue_station_3_2_robot_cell,0.483579
average_wait_station_3_2_robot_cell_seconds,283.1382
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.997064
utilization_active_window_station_3_3_robot_cell,0.998624
max_queue_station_3_3_robot_cell,1
average_queue_station_3_3_robot_cell,0.033428
average_wait_station_3_3_robot_cell_seconds,137.7054
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.991776
utilization_active_window_station_3_4_robot_cell,0.993323
max_queue_station_3_4_robot_cell,1
average_queue_station_3_4_robot_cell,0.007982
average_wait_station_3_4_robot_cell_seconds,112.4692
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.030232
utilization_active_window_station_4_inspection,0.030264
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.0004
average_wait_station_4_inspection_seconds,0.0305
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.005128
utilization_active_window_station_4_1_inspection,0.00518
max_queue_station_4_1_inspection,0
average_queue_station_4_1_inspection,0.0
average_wait_station_4_1_inspection_seconds,0.0094
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.001564
utilization_active_window_station_5_top_cover,0.001651
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.075891
utilization_active_window_station_5_1_top_cover,0.075972
max_queue_station_5_1_top_cover,1
average_queue_station_5_1_top_cover,0.003376
average_wait_station_5_1_top_cover_seconds,0.1529
availability_station_5_1_top_cover,1.0
utilization_overall_station_6_packaging,5.4e-05
utilization_active_window_station_6_packaging,7.7e-05
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.067299
utilization_active_window_station_6_1_packaging,0.067371
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0028
availability_station_6_1_packaging,1.0
order_qty_fuse0,2902
order_qty_fuse1,2898
order_qty_fuse2,2964
total fitness,40481.68430622163
