station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,33698.411,0.0,560164.0,22,0.083333,4.1859,19389.0111,4632,0.059977,0.060158,,
2,Station 1.1: Bottom cover,33075.2426,0.0,560164.0,22,0.07694,2.7616,12777.7743,4627,0.058868,0.059046,,
3,Station 2: Drill station,92803.4726,45.6,560267.6,37,0.138915,10.1983,87950.0522,8624,0.165173,0.165655,,
4,Station 2.1: Drill station,13506.544,72.2,560263.8,8,0.152038,30.6873,19578.5098,638,0.024039,0.024111,,
5,Station 3: Robot cell,552423.8377,95.0,561323.8,11,3.165641,1114.5545,2173381.2969,1950,0.983214,0.984311,,
6,Station 3.1: Robot cell,554917.8121,135.0,561425.8,16,9.275102,2951.3318,5760999.6319,1952,0.987653,0.988646,,
7,Station 3.2: Robot cell,548408.8,181.6,561472.4,8,2.213772,805.0723,1566670.71,1946,0.976068,0.977049,,
8,Station 3.3: Robot cell,553276.4978,185.4,561508.6,20,12.341388,3868.7518,7524722.2944,1945,0.984732,0.985665,,
9,Station 3.4: Robot cell,553695.2101,232.0,561555.2,16,5.814624,1906.4409,3702308.2874,1942,0.985477,0.986411,,
10,Station 4: Inspection,18980.2592,377.6,561676.3,9,0.008301,1.7421,13851.2773,7951,0.033781,0.033815,,
11,Station 4.1: Inspection,3516.4055,1834.0,553960.8355,1,0.000773,1.2519,1619.8992,1294,0.006259,0.006369,,
12,Station 5: Top cover,322.0,46061.9,539563.2355,0,0.0,0.0,0.0,70,0.000573,0.000652,,
13,Station 5.1: Top cover,44047.6574,510.7,561811.9,15,0.030613,1.8964,17406.7429,9179,0.078397,0.078474,,
14,Station 6: Packaging,28.0,83263.9,537545.5978,0,0.0,0.0,0.0,7,5e-05,6.2e-05,,
15,Station 6.1: Packaging,38091.9885,554.3,561854.9,20,0.022951,1.5367,14194.2344,9237,0.067797,0.067864,,
