order_id,due date,start_time,finish_time,through_put_time,lateness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,175066,157980.4139,165352.3139,7371.899999999994,-9713.686099999992,2,FUSE0,9,FUSE1,9,FUSE2,10,2,2,6,6
2,126958,108893.6,115105.1,6211.5,-11852.899999999994,2,FUSE0,9,FUSE1,9,FUSE2,10,1,1,5,4
3,261050,247497.016,255684.3978,8187.381800000003,-5365.602199999994,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,10,9
4,15964,589.6,4909.7,4320.099999999999,-11054.3,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,1,1
5,519678,503537.6978,509810.0239,6272.3260999999475,-9867.976100000029,2,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,18
6,144231,133371.4,140605.1139,7233.7139000000025,-3625.8861000000034,1,FUSE0,7,FUSE1,7,FUSE2,8,2,1,6,5
7,99292,74605.6,79033.9,4428.299999999988,-20258.100000000006,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1,3,3
8,505477,492862.3239,499069.2239,6206.899999999965,-6407.776100000017,5,FUSE0,8,FUSE1,9,FUSE2,9,4,4,18,18
9,117605,92362.4,96568.3,4205.900000000009,-21036.699999999997,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,4,4
10,530923,514230.0978,520215.6239,5985.526100000017,-10707.376099999994,1,FUSE0,7,FUSE1,7,FUSE2,7,4,4,19,19
11,404556,390545.816,398149.3121,7603.496099999989,-6406.687900000019,5,FUSE0,8,FUSE1,8,FUSE2,8,3,3,15,14
12,125040,107457.2,111861.9,4404.699999999997,-13178.100000000006,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,4
13,16584,2093.8,6440.5,4346.7,-10143.5,1,FUSE0,9,FUSE1,8,FUSE2,9,1,1,1,1
14,174616,156628.0,163821.5139,7193.513899999991,-10794.48610000001,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,6,6
15,419992,405211.201,412162.9121,6951.711100000015,-7829.087899999984,3,FUSE0,9,FUSE1,9,FUSE2,8,3,3,15,15
16,446663,432116.2121,438574.9121,6458.700000000012,-8088.087899999984,1,FUSE0,8,FUSE1,7,FUSE2,8,4,4,16,16
17,121109,98617.6,102679.1,4061.5,-18429.899999999994,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1,4,4
18,198074,175555.4,183035.7,7480.3000000000175,-15038.299999999988,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,7,7
19,337089,331576.9138,339222.3978,7645.483999999997,2133.397799999977,1,FUSE0,9,FUSE1,10,FUSE2,10,3,3,13,12
20,263834,252762.8,260858.3978,8095.597800000018,-2975.602199999994,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,10,10
21,511743,499100.5239,505279.6239,6179.100000000035,-6463.376099999994,4,FUSE0,7,FUSE1,7,FUSE2,7,4,4,19,18
22,31754,18423.8,22527.9,4104.100000000002,-9226.099999999999,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1,1,1
23,374083,356713.7138,364066.7978,7353.0839999999735,-10016.2022,1,FUSE0,7,FUSE1,8,FUSE2,8,3,3,14,13
24,216540,201923.9236,208893.9,6969.976399999985,-7646.100000000006,2,FUSE0,7,FUSE1,7,FUSE2,8,2,2,8,8
25,526396,512953.306,518990.4239,6037.117900000012,-7405.576100000006,1,FUSE0,7,FUSE1,7,FUSE2,7,4,4,19,19
26,128870,113329.6,117828.7,4499.099999999991,-11041.300000000003,2,FUSE0,8,FUSE1,8,FUSE2,8,1,1,5,5
27,43643,36200.2,40393.7,4193.5,-3249.300000000003,1,FUSE0,7,FUSE1,7,FUSE2,6,1,1,2,2
28,280331,267785.816,276129.5978,8343.781799999997,-4201.402200000011,1,FUSE0,10,FUSE1,10,FUSE2,10,2,2,10,10
