material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9239,100000,9239,90761,0
Fuse,9329,100000,9329,90671,0
PCB,9239,100000,9239,90761,0
Top cover,9239,100000,9239,90761,0
