material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,10,1000,10,990,0
Fuse,11,1000,11,989,0
PCB,10,1000,10,990,0
Top cover,10,1000,10,990,0
