unit_id,variant,first_arrival_time_s,start_time_s,completion_time_s,flow_time_s
U001,FUSE0,0.0,0.0,185.6,185.6
U002,FUSE1,0.0,6.6,262.0,262.0
U003,FUSE2,0.0,13.2,346.5,346.5
U004,FUSE0,10.0,19.8,407.4,397.4
U005,FUSE1,10.0,26.4,483.8,473.8
U006,FUSE2,10.0,33.0,568.3,558.3
U007,FUSE0,200.0,200.0,629.2,429.2
U008,FUSE1,200.0,206.6,705.6,505.6
U009,FUSE2,200.0,213.2,790.1,590.1
U010,FUSE2,200.0,219.8,874.6,674.6
