material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9,1000,4,996,0
Fuse,9,3,3,0,6
PCB,9,1000,4,996,0
Top cover,9,1000,4,996,0
