order_id,due date,start_time,finish_time,through_put_time,lateness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,13111,2026.0,6437.9,4411.9,-6673.1,4,FUSE0,10,FUSE1,10,FUSE2,9,1,1,1,1
2,25746,15769.0,20089.7,4320.700000000001,-5656.299999999999,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1,1,1
3,15346,6469.2,10656.7,4187.500000000001,-4689.299999999999,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,1,1
4,323894,293105.8,297321.1,4215.299999999988,-26572.900000000023,2,FUSE0,8,FUSE1,8,FUSE2,9,3,3,12,11
5,9710,0.0,3287.7,3287.7,-6422.3,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1,1,1
6,88839,68564.4,72590.9,4026.5,-16248.100000000006,4,FUSE0,7,FUSE1,7,FUSE2,8,1,1,3,3
7,96008,72356.8,76703.5,4346.699999999997,-19304.5,5,FUSE0,9,FUSE1,9,FUSE2,9,1,1,3,3
8,452803,412128.8,416631.9,4503.100000000035,-36171.09999999998,1,FUSE0,9,FUSE1,9,FUSE2,10,4,3,17,15
9,255134,225752.4,229925.9,4173.5,-25208.100000000006,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,9,8
10,204323,187055.2,191513.1,4457.899999999994,-12809.899999999994,2,FUSE0,9,FUSE1,9,FUSE2,9,2,2,8,7
11,262355,231150.0,235636.7,4486.700000000012,-26718.29999999999,1,FUSE0,10,FUSE1,10,FUSE2,10,2,2,10,9
12,537821,483220.0,487634.3,4414.299999999988,-50186.70000000001,2,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,17
13,408074,370978.2,375109.7,4131.5,-32964.29999999999,3,FUSE0,8,FUSE1,7,FUSE2,8,3,3,15,14
14,106927,83120.6,87411.9,4291.299999999988,-19515.100000000006,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,4
15,197946,177822.8,182192.5,4369.700000000012,-15753.5,1,FUSE0,10,FUSE1,9,FUSE2,9,2,2,7,7
16,131233,109377.4,113842.9,4465.5,-17390.100000000006,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,5,4
17,247862,218244.8,222604.7,4359.900000000023,-25257.29999999999,2,FUSE0,9,FUSE1,9,FUSE2,9,2,2,9,8
18,220782,201931.0,206136.1,4205.100000000006,-14645.899999999994,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,8,8
19,48749,26338.8,30499.9,4161.100000000002,-18249.1,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,2,2
20,217663,196513.4,200879.5,4366.100000000006,-16783.5,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,8,7
21,463214,419530.0,423881.9,4351.900000000023,-39332.09999999998,2,FUSE0,9,FUSE1,9,FUSE2,9,4,3,17,15
22,564753,513384.8,517958.3,4573.5,-46794.70000000001,2,FUSE0,10,FUSE1,10,FUSE2,9,4,4,20,18
23,349665,326916.6,331110.1,4193.5,-18554.900000000023,1,FUSE0,8,FUSE1,7,FUSE2,8,3,3,13,12
24,476101,434173.4,438509.5,4336.099999999977,-37591.5,1,FUSE0,9,FUSE1,8,FUSE2,9,4,4,17,16
25,294610,255947.8,260363.9,4416.100000000006,-34246.100000000006,2,FUSE0,9,FUSE1,9,FUSE2,9,3,2,11,10
26,541871,487327.6,491388.5,4060.9000000000233,-50482.5,4,FUSE0,7,FUSE1,7,FUSE2,8,4,4,19,18
27,101759,76972.2,81445.1,4472.900000000009,-20313.899999999994,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,4,3
28,312043,273732.8,278075.5,4342.700000000012,-33967.5,1,FUSE0,9,FUSE1,9,FUSE2,9,3,2,11,10
29,137182,115648.6,119880.7,4232.099999999991,-17301.300000000003,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,5
30,174263,154155.2,158401.7,4246.5,-15861.299999999988,4,FUSE0,8,FUSE1,8,FUSE2,9,2,2,7,6
31,106310,80012.4,84321.1,4308.700000000012,-21988.899999999994,2,FUSE0,8,FUSE1,8,FUSE2,8,1,1,4,3
32,527141,472585.2,477041.3,4456.099999999977,-50099.70000000001,1,FUSE0,9,FUSE1,8,FUSE2,9,4,4,19,17
