station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28921.2,0.0,516358.6,22,0.057736,0.4157,1821.6,4382,0.055694,0.05601,,
2,Station 1.1: Bottom cover,28921.2,0.0,516465.4,22,0.057736,0.4157,1821.6,4382,0.055694,0.055998,,
3,Station 2: Drill station,85051.2,45.6,516534.8,8,0.011005,0.6822,5578.8,8178,0.163784,0.164672,,
4,Station 2.1: Drill station,6094.4,72.2,512514.8,8,0.139932,1.6502,967.0,586,0.011736,0.011893,,
5,Station 3: Robot cell,518973.2,95.0,519068.2,7,6.687607,2129.2852,3728378.4,1751,0.999394,1.0,,
6,Station 3.1: Robot cell,518619.2,135.0,518754.2,7,6.727325,2125.1187,3725333.0,1753,0.998712,1.0,,
7,Station 3.2: Robot cell,518753.6,181.6,518935.2,8,6.67975,2105.054,3700685.0,1758,0.998971,1.0,,
8,Station 3.3: Robot cell,518686.0,185.4,518871.4,7,6.522013,2079.5904,3637203.6,1749,0.998841,1.0,,
9,Station 3.4: Robot cell,518695.2,232.0,518927.2,7,6.464917,2060.6311,3612286.4,1753,0.998859,1.0,,
10,Station 4: Inspection,16344.3,377.6,519109.3,0,0.0,0.0239,186.4,7783,0.031474,0.031508,,
11,Station 4.1: Inspection,2060.1,1834.0,519036.3,0,0.0,0.0069,6.8,981,0.003967,0.003983,,
12,Station 5: Top cover,464.6,63859.9,476661.3,0,0.0,0.0,0.0,101,0.000895,0.001125,,
13,Station 5.1: Top cover,39849.8,510.7,519244.9,1,0.000577,0.1334,1155.4,8663,0.076739,0.076821,,
14,Station 6: Packaging,52.0,319064.9,343235.3,0,0.0,0.0,0.0,13,0.0001,0.002151,,
15,Station 6.1: Packaging,35004.0,554.3,519287.9,0,0.0,0.0027,24.0,8751,0.067408,0.06748,,
