disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
Top Cover Stuck,1196.0,5,0.0,127.0,1137.0
emergency_order,0.0,,0.0,2956.0,
inspection_failure,0.0,,0.0,3311.0,
Drill To Dull,4576.0,2,0.0,16170.0,19621.0
efficiency_loss,0.0,2.1,30.0,18132.0,18425.0
emergency_order,0.0,,0.0,29706.0,
efficiency_loss,0.0,4.1,59.0,38550.0,38948.0
emergency_order,0.0,,0.0,43459.0,
emergency_order,0.0,,0.0,74953.0,
Bottom Cover Misaligned,1144.0,1.1,0.0,75522.0,76442.0
PLC Failure,1656.0,6.1,0.0,81615.0,83024.0
Top Cover Misaligned,1144.0,5,0.0,94157.0,95106.0
Bottom Cover Stuck,1196.0,1.1,0.0,105050.0,106073.0
Camera Dirty,1248.0,4,0.0,117966.0,118986.0
Drill To Dull,4576.0,2.1,0.0,133230.0,137088.0
Top Cover Stuck,1196.0,5.1,0.0,160429.0,161420.0
emergency_order,0.0,,0.0,165720.0,
efficiency_loss,0.0,5.2,76.0,174060.0,174799.0
Bottom Cover Stuck,1196.0,1,0.0,175419.0,176434.0
efficiency_loss,0.0,5.2,63.0,210296.0,211053.0
emergency_order,0.0,,0.0,220650.0,
efficiency_loss,0.0,6,18.0,228797.0,228988.0
Camera Dirty,1248.0,4.1,0.0,230148.0,230917.0
emergency_order,0.0,,0.0,244744.0,
efficiency_loss,0.0,2.2,34.0,248142.0,248448.0
emergency_order,0.0,,0.0,259110.0,
PLC Failure,1656.0,4,0.0,271859.0,273315.0
Top Cover Stuck,1196.0,5,0.0,272976.0,273975.0
emergency_order,0.0,,0.0,293270.0,
Top Cover Misaligned,1144.0,5.1,0.0,313181.0,314065.0
emergency_order,0.0,,0.0,316576.0,
emergency_order,0.0,,0.0,319638.0,
emergency_order,0.0,,0.0,340163.0,
Misaligned Material,5220.0,3.4,0.0,342900.0,346027.0
Misaligned Material,5220.0,3.3,0.0,347129.0,350146.0
PLC Failure,1656.0,4.1,0.0,355038.0,356418.0
Cover Wrong Orientation,4368.0,3.2,0.0,356479.0,360056.0
efficiency_loss,0.0,5.1,29.0,360369.0,361031.0
emergency_order,0.0,,0.0,371225.0,
Drill To Dull,4576.0,2.2,0.0,397973.0,401653.0
PLC Failure,1656.0,5.2,0.0,410072.0,411476.0
inspection_failure,0.0,,0.0,410391.0,
Misaligned Material,5220.0,3.2,0.0,436855.0,439941.0
efficiency_loss,0.0,1,44.0,449490.0,449989.0
Top Cover Stuck,1196.0,5.2,0.0,450704.0,451728.0
emergency_order,0.0,,0.0,451652.0,
emergency_order,0.0,,0.0,452698.0,
efficiency_loss,0.0,4,78.0,454720.0,455081.0
efficiency_loss,0.0,2,54.0,467536.0,467852.0
efficiency_loss,0.0,4,23.0,471628.0,471966.0
emergency_order,0.0,,0.0,482330.0,
efficiency_loss,0.0,6.1,14.0,483052.0,483248.0
efficiency_loss,0.0,1.1,35.0,492501.0,493144.0
emergency_order,0.0,,0.0,520821.0,
efficiency_loss,0.0,5,88.0,526276.0,526976.0
Top Cover Misaligned,1144.0,5.2,0.0,529126.0,530118.0
inspection_failure,0.0,,0.0,530885.0,
efficiency_loss,0.0,4.1,62.0,531795.0,532108.0
Bottom Cover Misaligned,1144.0,1,0.0,532012.0,532847.0
emergency_order,0.0,,0.0,534042.0,
efficiency_loss,0.0,5,21.0,544311.0,544870.0
inspection_failure,0.0,,0.0,548402.0,
PLC Failure,1656.0,5,0.0,570643.0,572154.0
