material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9613,100000,9613,90387,0
Fuse,9671,100000,9671,90329,0
PCB,9613,100000,9613,90387,0
Top cover,9613,100000,9613,90387,0
