station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,517619.3883,0.0,567683.8,34,1.314115,158.0662,740224.2383,4683,0.909284,0.911809,,
2,Station 1.1: Bottom cover,516815.2005,0.0,567571.6,34,0.709891,89.7584,420158.8983,4681,0.907871,0.910573,,
3,Station 2: Drill station,549298.3876,151.2,567886.0,15,4.229831,836.3713,2674715.467,3198,0.964933,0.967526,,
4,Station 2.1: Drill station,545902.9986,191.2,567953.6,14,2.801082,578.751,1818435.5628,3142,0.958969,0.961499,,
5,Station 2.2: Drill station,541024.9252,303.4,567861.4,19,3.010483,612.4111,1927870.2321,3148,0.950399,0.95325,,
6,Station 3: Robot cell,556261.2,367.0,568230.4,24,12.818913,3950.0582,7852715.6577,1988,0.977164,0.979569,,
7,Station 3.1: Robot cell,554625.0794,447.0,568322.6,16,7.827236,2515.1024,4949721.5444,1968,0.97429,0.976667,,
8,Station 3.2: Robot cell,550255.6186,599.2,568471.4,8,3.008749,1061.1103,2061737.3982,1943,0.966615,0.968978,,
9,Station 3.3: Robot cell,545865.9016,603.8,568323.0,9,1.670984,653.1582,1260595.3203,1930,0.958903,0.961507,,
10,Station 3.4: Robot cell,535972.8327,800.6,568166.2,5,0.37039,261.715,496735.0272,1898,0.941525,0.944669,,
11,Station 4: Inspection,547507.9932,649.6,568739.8,8,1.436528,227.2729,1081364.5599,4758,0.961788,0.963769,,
12,Station 4.1: Inspection,532598.397,966.4,568559.6,5,0.4,100.4144,464416.6112,4625,0.935597,0.938345,,
13,Station 5: Top cover,523171.757,1300.2,569065.6,4,0.154797,62.0963,190946.0183,3075,0.919037,0.921458,,
14,Station 5.1: Top cover,538868.5419,1015.8,569021.8,5,0.307717,102.6183,325813.088,3175,0.946611,0.948702,,
15,Station 5.2: Top cover,547480.8237,878.2,568949.4713,9,1.103342,257.7717,833118.0962,3232,0.96174,0.963754,,
16,Station 6: Packaging,525620.6311,1448.8,569216.8,7,0.256693,67.2347,311430.9397,4632,0.923339,0.925767,,
17,Station 6.1: Packaging,538496.1614,1092.0,569260.6,6,0.459751,98.3728,465598.3164,4733,0.945957,0.947775,,
