order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,175066,157723.1233,164535.8233,6812.6999999999825,-10530.17670000001,-0.008273288168513988,2,FUSE0,9,FUSE1,9,FUSE2,10,2,2,6,1
2,126958,108614.1,114789.6645,6175.564499999993,-12168.335500000001,-0.009560347275336667,2,FUSE0,9,FUSE1,9,FUSE2,10,1,1,5,4
3,261050,244354.0591,252871.6173,8517.5582,-8178.382699999987,-0.0022717729722222186,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,10,4
4,15964,0.0,5893.4,5893.4,-10070.6,-0.002797388888888889,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,1,1
5,519678,499419.9,509569.3138,10149.41379999998,-10108.686199999996,-0.00794213395656319,2,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,3
6,144231,133525.7645,141567.8233,8042.058799999999,-2663.176700000011,-0.0007397713055555586,1,FUSE0,7,FUSE1,7,FUSE2,8,2,1,6,5
7,99292,75155.3,81258.2,6102.899999999994,-18033.800000000003,-0.0050093888888888905,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1,3,3
8,505477,487659.7138,496944.6,9284.88619999995,-8532.400000000023,-0.026498647793360083,5,FUSE0,8,FUSE1,9,FUSE2,9,4,4,18,3
9,117605,91619.3,97600.6,5981.300000000003,-20004.399999999994,-0.005556777777777776,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,4,4
10,530923,511011.8138,520930.5794,9918.765599999984,-9992.420600000012,-0.0027756723888888923,1,FUSE0,7,FUSE1,7,FUSE2,7,4,4,19,4
11,404556,385730.8138,394836.3591,9105.545299999998,-9719.640899999999,-0.03018580245734338,5,FUSE0,8,FUSE1,8,FUSE2,8,3,3,15,4
12,125040,106988.3,113285.2,6296.899999999994,-11754.800000000003,-0.00923544310165737,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,4
13,16584,1396.9,7570.2,6173.299999999999,-9013.8,-0.002503833333333333,1,FUSE0,9,FUSE1,8,FUSE2,9,1,1,1,1
14,174616,156331.1233,163102.7613,6771.638000000006,-11513.238699999987,-0.0031981218611111077,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,6,1
15,419992,398014.0591,407270.7138,9256.654700000014,-12721.286199999973,-0.01836159503002064,3,FUSE0,9,FUSE1,9,FUSE2,8,3,3,15,5
16,446663,425384.8138,434929.9138,9545.099999999977,-11733.08620000002,-0.0032591906111111165,1,FUSE0,8,FUSE1,7,FUSE2,8,4,4,16,1
17,121109,97789.9,107624.0,9834.100000000006,-13485.0,-0.0037458333333333332,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1,4,4
18,198074,173911.6613,180813.5613,6901.899999999994,-17260.4387,-0.004794566305555556,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,7,2
19,337089,327220.4138,336161.9138,8941.5,-927.0862000000197,-0.00025752394444444995,1,FUSE0,9,FUSE1,10,FUSE2,10,3,3,13,2
