station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28927.8,0.0,516610.6,22,0.05771,0.4162,1824.6,4384,0.055617,0.055995,,
2,Station 1.1: Bottom cover,28914.6,0.0,516646.2,22,0.057736,0.4161,1823.2,4382,0.055592,0.055966,,
3,Station 2: Drill station,84614.4,45.6,516715.6,8,0.011428,0.7879,6411.6,8138,0.162682,0.163769,,
4,Station 2.1: Drill station,6531.2,72.2,516499.0,8,0.130573,1.5347,963.8,628,0.012557,0.012647,,
5,Station 3: Robot cell,519806.8,95.0,519901.8,10,7.646792,2428.8528,4277209.7,1761,0.999395,1.0,,
6,Station 3.1: Robot cell,519317.6,135.0,519452.6,9,6.411231,2051.2483,3616350.8,1763,0.998454,1.0,,
7,Station 3.2: Robot cell,519180.4,181.6,519362.0,9,7.157655,2269.8619,3988147.4,1757,0.998191,1.0,,
8,Station 3.3: Robot cell,518899.2,185.4,519084.6,8,6.486947,2049.8294,3611799.4,1762,0.99765,1.0,,
9,Station 3.4: Robot cell,517726.4,232.0,517958.4,7,5.292141,1708.2713,2999724.4,1756,0.995395,1.0,,
10,Station 4: Inspection,16111.2,377.6,519942.9,1,0.00013,0.0192,147.2,7672,0.030976,0.031009,,
11,Station 4.1: Inspection,2293.2,1834.0,518188.5,0,0.0,0.0062,6.8,1092,0.004409,0.004441,,
12,Station 5: Top cover,611.8,66285.9,493286.9,0,0.0,0.0,0.0,133,0.001176,0.001433,,
13,Station 5.1: Top cover,39702.6,510.7,520078.5,1,0.000579,0.108,932.1,8633,0.076333,0.076415,,
14,Station 6: Packaging,20.0,214998.7,393331.7,0,0.0,0.0,0.0,5,3.8e-05,0.000112,,
15,Station 6.1: Packaging,35036.0,554.3,520121.5,0,0.0,0.0053,46.2,8759,0.067361,0.067433,,
