kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2909
produced_units_fuse1,2898
produced_units_fuse2,2957
makespan_seconds,520283.7
average_cycle_time_seconds,59.3091
cycle_time_from_1_over_throughput_rate_seconds,59.366
throughput_rate_per_second,0.016845
throughput_rate_per_hour,60.6408
average_throughput_time_seconds,917.4445
average_active_throughput_time_seconds,917.4445
average_throughput_efficiency,0.357282
total_wait_time_seconds,1894096.1
average_cycle_time_seconds_fuse0,178.3854
Active_average_cycle_time_seconds_fuse0,162.4719
global_average_cycle_time_seconds_fuse0,162.4719
average_cycle_time_seconds_fuse1,179.0108
Active_average_cycle_time_seconds_fuse1,164.2414
global_average_cycle_time_seconds_fuse1,164.2414
average_cycle_time_seconds_fuse2,175.5001
Active_average_cycle_time_seconds_fuse2,167.6328
global_average_cycle_time_seconds_fuse2,167.6328
utilization_overall_station_1_bottom_cover,0.055613
utilization_active_window_station_1_bottom_cover,0.05574
max_queue_station_1_bottom_cover,6
average_queue_station_1_bottom_cover,0.004789
average_wait_station_1_bottom_cover_seconds,0.0433
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.055562
utilization_active_window_station_1_1_bottom_cover,0.055695
max_queue_station_1_1_bottom_cover,6
average_queue_station_1_1_bottom_cover,0.004795
average_wait_station_1_1_bottom_cover_seconds,0.0422
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.162531
utilization_active_window_station_2_drill_station,0.162902
max_queue_station_2_drill_station,2
average_queue_station_2_drill_station,0.000984
average_wait_station_2_drill_station_seconds,0.6123
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.012653
utilization_active_window_station_2_1_drill_station,0.012759
max_queue_station_2_1_drill_station,2
average_queue_station_2_1_drill_station,0.007899
average_wait_station_2_1_drill_station_seconds,0.1336
availability_station_2_1_drill_station,1.0
utilization_overall_station_3_robot_cell,0.998659
utilization_active_window_station_3_robot_cell,0.999941
max_queue_station_3_robot_cell,2
average_queue_station_3_robot_cell,0.633596
average_wait_station_3_robot_cell_seconds,355.9674
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.99777
utilization_active_window_station_3_1_robot_cell,0.999368
max_queue_station_3_1_robot_cell,1
average_queue_station_3_1_robot_cell,0.179502
average_wait_station_3_1_robot_cell_seconds,221.372
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.998528
utilization_active_window_station_3_2_robot_cell,0.999375
max_queue_station_3_2_robot_cell,1
average_queue_station_3_2_robot_cell,0.098361
average_wait_station_3_2_robot_cell_seconds,177.4694
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.997545
utilization_active_window_station_3_3_robot_cell,0.999004
max_queue_station_3_3_robot_cell,1
average_queue_station_3_3_robot_cell,0.183928
average_wait_station_3_3_robot_cell_seconds,182.1456
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.992715
utilization_active_window_station_3_4_robot_cell,0.994384
max_queue_station_3_4_robot_cell,1
average_queue_station_3_4_robot_cell,0.069025
average_wait_station_3_4_robot_cell_seconds,130.6125
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.030522
utilization_active_window_station_4_inspection,0.030555
max_queue_station_4_inspection,0
average_queue_station_4_inspection,0.0
average_wait_station_4_inspection_seconds,0.0272
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.004852
utilization_active_window_station_4_1_inspection,0.004874
max_queue_station_4_1_inspection,0
average_queue_station_4_1_inspection,0.0
average_wait_station_4_1_inspection_seconds,0.0128
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.001247
utilization_active_window_station_5_top_cover,0.001417
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.076239
utilization_active_window_station_5_1_top_cover,0.07632
max_queue_station_5_1_top_cover,1
average_queue_station_5_1_top_cover,0.001971
average_wait_station_5_1_top_cover_seconds,0.1414
availability_station_5_1_top_cover,1.0
utilization_overall_station_6_packaging,0.000131
utilization_active_window_station_6_packaging,0.000179
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.067248
utilization_active_window_station_6_1_packaging,0.06732
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0033
availability_station_6_1_packaging,1.0
order_qty_fuse0,2909
order_qty_fuse1,2898
order_qty_fuse2,2957
total fitness,20070.11172663261
