station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,516535.7,34,1.017572,119.8991,525397.9,4382,0.944271,0.951842,,
2,Station 1.1: Bottom cover,491660.4,0.0,516569.7,34,0.961433,113.3541,496717.7,4382,0.944271,0.951779,,
3,Station 2: Drill station,516609.6,151.2,516760.8,13,6.13347,1163.9886,3401174.6,2922,0.992187,1.0,,
4,Station 2.1: Drill station,516432.8,191.2,516719.5,13,6.053749,1153.443,3369207.0,2921,0.991848,0.999815,,
5,Station 2.2: Drill station,516432.8,303.4,516855.5,13,6.089353,1158.4291,3383771.3,2921,0.991848,0.999769,,
6,Station 3: Robot cell,519377.2,367.0,519802.8,9,4.293212,1421.4901,2491872.2,1753,0.997503,0.999887,,
7,Station 3.1: Robot cell,519414.0,447.0,519931.8,9,4.22089,1400.8821,2454345.4,1752,0.997574,0.999864,,
8,Station 3.2: Robot cell,519014.0,599.2,519656.4,9,4.165049,1376.5806,2410392.6,1751,0.996805,0.999917,,
9,Station 3.3: Robot cell,518980.8,603.8,519806.0,9,4.085421,1356.2476,2381570.8,1756,0.996742,0.999574,,
10,Station 3.4: Robot cell,518802.4,800.6,519933.6,9,4.021689,1339.5794,2346943.1,1752,0.996399,0.999363,,
11,Station 4: Inspection,516028.8,649.6,520170.2,2,0.322242,94.2532,413583.0,4388,0.991072,0.993279,,
12,Station 4.1: Inspection,514617.6,966.4,520128.4,2,0.257998,84.704,370664.6,4376,0.988362,0.991247,,
13,Station 5: Top cover,509542.0,1300.2,520434.2,0,0.0,7.8548,22896.8,2915,0.978614,0.981523,,
14,Station 5.1: Top cover,510590.8,1015.8,520476.0,0,0.0,8.1211,23721.6,2921,0.980628,0.982926,,
15,Station 5.2: Top cover,511814.4,878.2,520328.0,0,0.0,9.0388,26465.6,2928,0.982978,0.985301,,
16,Station 6: Packaging,507964.0,1448.8,520649.2,0,0.0,36.8964,161569.4,4379,0.975583,0.978358,,
17,Station 6.1: Packaging,508660.0,1092.0,520677.4,0,0.0,36.8948,161783.6,4385,0.97692,0.978973,,
