kpi,run_6,run_7,run_8,run_9,run_10
kpi_name,value,value,value,value,value
average_wait_station_3_1_robot_cell_seconds,1723.7311,1445.2403,2772.73,2515.1024,998.3155
availability_station_3_1_robot_cell,0.988258,1,0.991132,0.988432,0.989216
utilization_overall_station_3_2_robot_cell,0.990144,0.989188,0.981642,0.966615,0.962077
utilization_active_window_station_3_2_robot_cell,0.998253,0.998528,0.984482,0.968978,0.964506
max_queue_station_3_2_robot_cell,13,8,8,8,14
average_queue_station_3_2_robot_cell,5.45307,2.397127,2.565682,3.008749,6.029106
average_wait_station_3_2_robot_cell_seconds,1782.5027,888.1299,917.8898,1061.1103,1936.4608
availability_station_3_2_robot_cell,0.993794,0.988099,0.993789,0.986876,1
utilization_overall_station_3_3_robot_cell,0.981994,0.985048,0.97113,0.958903,0.956195
utilization_active_window_station_3_3_robot_cell,0.991971,0.99432,0.973706,0.961507,0.958574
max_queue_station_3_3_robot_cell,14,6,5,9,11
average_queue_station_3_3_robot_cell,3.022599,1.089094,0.825953,1.670984,2.560503
average_wait_station_3_3_robot_cell_seconds,1047.1379,476.4597,388.5028,653.1582,908.5074
availability_station_3_3_robot_cell,0.987689,0.994822,0.99445,0.984939,1
utilization_overall_station_3_4_robot_cell,0.974109,0.969864,0.955097,0.941525,0.946269
utilization_active_window_station_3_4_robot_cell,0.984239,0.980645,0.958231,0.944669,0.949287
max_queue_station_3_4_robot_cell,5,4,4,5,3
average_queue_station_3_4_robot_cell,0.837642,0.602083,0.789529,0.37039,0.576514
average_wait_station_3_4_robot_cell_seconds,395.923,319.3991,369.8581,261.715,316.3201
availability_station_3_4_robot_cell,0.988043,0.994763,1,0.986882,0.993287
utilization_overall_station_4_inspection,0.979024,0.988427,0.976281,0.961788,0.95988
utilization_active_window_station_4_inspection,0.980922,0.990355,0.978448,0.963769,0.961875
max_queue_station_4_inspection,7,8,13,8,9
average_queue_station_4_inspection,1.238075,1.647931,2.736677,1.436528,2.774125
average_wait_station_4_inspection_seconds,201.9892,253.9701,380.926,227.2729,384.5602
availability_station_4_inspection,0.998527,0.995474,0.997862,0.997972,0.997973
utilization_overall_station_4_1_inspection,0.96557,0.973491,0.958691,0.935597,0.945193
utilization_active_window_station_4_1_inspection,0.972242,0.979033,0.961149,0.938345,0.947834
max_queue_station_4_1_inspection,6,10,9,5,7
average_queue_station_4_1_inspection,0.570123,1.200085,0.748188,0.4,0.961973
average_wait_station_4_1_inspection_seconds,122.645,199.0737,143.7988,100.4144,169.6532
availability_station_4_1_inspection,0.996887,0.995641,0.995971,0.997691,0.995199
utilization_overall_station_5_top_cover,0.944726,0.954003,0.942883,0.919037,0.929472
utilization_active_window_station_5_top_cover,0.952237,0.963403,0.945521,0.921458,0.932138
max_queue_station_5_top_cover,3,4,3,4,3
average_queue_station_5_top_cover,0.134659,0.272089,0.161435,0.154797,0.24853
average_wait_station_5_top_cover_seconds,61.833,86.5997,65.0513,62.0963,88.9756
availability_station_5_top_cover,0.995588,0.997431,0.993313,0.993709,0.99343
utilization_overall_station_5_1_top_cover,0.967724,0.974066,0.964538,0.946611,0.949145
utilization_active_window_station_5_1_top_cover,0.974,0.977789,0.966607,0.948702,0.951323
max_queue_station_5_1_top_cover,3,3,4,5,6
average_queue_station_5_1_top_cover,0.188656,0.160948,0.228322,0.307717,0.515645
average_wait_station_5_1_top_cover_seconds,72.0442,67.5036,82.2948,102.6183,149.6946
availability_station_5_1_top_cover,0.992673,0.996635,0.995453,0.99607,0.993795
utilization_overall_station_5_2_top_cover,0.986108,0.987382,0.976858,0.96174,0.959453
utilization_active_window_station_5_2_top_cover,0.98792,0.989207,0.979012,0.963754,0.96135
max_queue_station_5_2_top_cover,6,5,6,9,7
average_queue_station_5_2_top_cover,1.242118,0.852641,0.934836,1.103342,1.42218
average_wait_station_5_2_top_cover_seconds,285.5395,222.4909,226.3191,257.7717,323.414
availability_station_5_2_top_cover,0.996051,0.992892,0.993353,0.995994,0.995694
utilization_overall_station_6_packaging,0.947381,0.959501,0.942285,0.923339,0.927841
utilization_active_window_station_6_packaging,0.954561,0.964967,0.944705,0.925767,0.930363
max_queue_station_6_packaging,3,6,5,7,3
average_queue_station_6_packaging,0.038748,0.142494,0.118351,0.256693,0.121781
average_wait_station_6_packaging_seconds,39.4197,53.6342,48.9916,67.2347,52.5033
availability_station_6_packaging,0.999813,0.999944,0.999932,0.999977,0.997421
utilization_overall_station_6_1_packaging,0.965936,0.968945,0.96023,0.945957,0.947104
utilization_active_window_station_6_1_packaging,0.967811,0.970838,0.962228,0.947775,0.948943
max_queue_station_6_1_packaging,3,4,3,6,8
average_queue_station_6_1_packaging,0.127846,0.169958,0.108878,0.459751,0.446078
average_wait_station_6_1_packaging_seconds,55.1005,61.7337,52.2825,98.3728,97.0816
availability_station_6_1_packaging,0.999971,0.99747,0.999841,0.997379,0.999863
order_qty_fuse0,3079,3080,3057,3030,3011
order_qty_fuse1,3075,3075,3065,3022,3006
order_qty_fuse2,3137,3141,3153,3107,3076
