kpi,run_1,run_2,run_3,run_4,run_5,average
utilization_active_window_station_1_bottom_cover,0.055739,0.054612,0.054329,0.054731,0.05589,0.055060200000000004
max_queue_station_1_bottom_cover,22,22,22,22,22,22.0
average_queue_station_1_bottom_cover,0.054928,0.068338,0.07103,0.062164,0.054762,0.06224439999999999
average_wait_station_1_bottom_cover_seconds,0.4016,0.5057,0.5237,0.4616,0.3998,0.45848000000000005
availability_station_1_bottom_cover,1,1,1,0.999965,0.999817,0.9999564
utilization_overall_station_1_1_bottom_cover,0.054945,0.053896,0.054016,0.054012,0.056788,0.0547314
utilization_active_window_station_1_1_bottom_cover,0.055543,0.054086,0.054213,0.054175,0.057379,0.055079199999999995
max_queue_station_1_1_bottom_cover,22,22,22,22,22,22.0
average_queue_station_1_1_bottom_cover,0.055156,0.066623,0.068617,0.062772,0.054928,0.0616192
average_wait_station_1_1_bottom_cover_seconds,0.4033,0.4941,0.5067,0.465,0.6149,0.4968
availability_station_1_1_bottom_cover,1,1,1,1,0.969577,0.9939154
utilization_overall_station_2_drill_station,0.166599,0.162864,0.165897,0.15715,0.16865,0.164232
utilization_active_window_station_2_drill_station,0.168381,0.163418,0.166482,0.157608,0.170379,0.1652536
max_queue_station_2_drill_station,8,8,8,8,8,8.0
average_queue_station_2_drill_station,0.010708,0.013243,0.013257,0.011997,0.010683,0.0119776
average_wait_station_2_drill_station_seconds,1.0671,1.686,1.3653,0.7647,1.551,1.28682
availability_station_2_drill_station,0.962201,0.96212,0.948395,0.999909,0.962626,0.9670502000000001
utilization_overall_station_2_1_drill_station,0.013186,0.014035,0.013083,0.013957,0.029143,0.016680800000000003
utilization_active_window_station_2_1_drill_station,0.013333,0.014083,0.01313,0.013998,0.029488,0.0168064
max_queue_station_2_1_drill_station,8,8,8,8,8,8.0
average_queue_station_2_1_drill_station,0.11731,0.132199,0.147059,0.12053,0.133117,0.13004300000000002
average_wait_station_2_1_drill_station_seconds,1.4106,1.6422,1.8431,1.5315,17.3584,4.757160000000001
availability_station_2_1_drill_station,1,0.997192,1,1,0.397176,0.8788736
utilization_overall_station_3_robot_cell,0.999428,0.984138,0.98601,0.986673,0.999429,0.9911356
utilization_active_window_station_3_robot_cell,1,0.985229,0.986662,0.987774,1,0.9919329999999998
max_queue_station_3_robot_cell,20,17,23,16,19,19.0
average_queue_station_3_robot_cell,14.16736,10.903392,14.655172,9.185845,13.027994,12.3879526
average_wait_station_3_robot_cell_seconds,4418.0428,3444.6059,4519.6085,2911.6462,4064.2956,3871.6398
availability_station_3_robot_cell,0.98963,0.989428,0.994665,0.993969,0.993926,0.9923236
utilization_overall_station_3_1_robot_cell,0.996612,0.982008,0.977991,0.984797,0.997903,0.9878622
utilization_active_window_station_3_1_robot_cell,1,0.983096,0.978637,0.985786,1,0.9895037999999999
max_queue_station_3_1_robot_cell,14,12,9,14,15,12.8
average_queue_station_3_1_robot_cell,10.301702,8.343414,6.201741,11.121538,9.428054,9.079289800000002
average_wait_station_3_1_robot_cell_seconds,3198.1352,2643.5584,2008.8762,3492.3919,2967.2778,2862.0479
availability_station_3_1_robot_cell,1,0.993305,0.992644,0.987769,0.994263,0.9935962
utilization_overall_station_3_2_robot_cell,0.990772,0.978834,0.973979,0.984243,0.991881,0.9839418
utilization_active_window_station_3_2_robot_cell,0.999861,0.979863,0.975204,0.985233,1,0.9880321999999999
max_queue_station_3_2_robot_cell,8,12,10,8,8,9.2
average_queue_station_3_2_robot_cell,2.954761,8.354905,4.331276,5.254573,3.487047,4.8765124
average_wait_station_3_2_robot_cell_seconds,1033.1967,2638.1426,1439.1692,1702.4042,1171.5702,1596.89658
availability_station_3_2_robot_cell,0.990047,0.993576,0.99288,1,1,0.9953006
utilization_overall_station_3_3_robot_cell,0.990266,0.976546,0.976784,0.983059,0.991132,0.9835573999999999
utilization_active_window_station_3_3_robot_cell,0.999541,0.977465,0.978012,0.983991,1,0.9878018000000001
max_queue_station_3_3_robot_cell,8,9,8,9,7,8.2
average_queue_station_3_3_robot_cell,3.80721,4.269132,5.894359,5.125387,4.007254,4.6206684000000005
average_wait_station_3_3_robot_cell_seconds,1265.2088,1412.7095,1899.8351,1698.6889,1321.9458,1519.67762
availability_station_3_3_robot_cell,0.994597,0.994348,0.993139,0.987367,1,0.9938901999999998
utilization_overall_station_3_4_robot_cell,0.985723,0.973698,0.971173,0.977794,0.987706,0.9792188
utilization_active_window_station_3_4_robot_cell,0.995254,0.974614,0.972394,0.97872,0.99766,0.9837284000000001
max_queue_station_3_4_robot_cell,7,7,8,8,7,7.4
average_queue_station_3_4_robot_cell,1.892726,1.124481,1.97619,2.365005,3.112101,2.0941006
average_wait_station_3_4_robot_cell_seconds,697.6047,487.8372,729.9527,848.9597,1062.3721,765.34528
availability_station_3_4_robot_cell,1,0.992514,0.992886,0.986258,0.994702,0.9932719999999999
utilization_overall_station_4_inspection,0.032319,0.031235,0.033569,0.031367,0.02993,0.031684000000000004
utilization_active_window_station_4_inspection,0.032352,0.031266,0.033602,0.031398,0.029961,0.0317158
max_queue_station_4_inspection,1,1,2,0,1,1.0
average_queue_station_4_inspection,0.000998,0.000124,0.000374,0,0.000382,0.00037559999999999997
average_wait_station_4_inspection_seconds,0.3331,0.2172,0.4437,0.223,0.0239,0.24818
availability_station_4_inspection,0.94547,0.955969,0.883093,0.952445,0.998699,0.9471352
utilization_overall_station_4_1_inspection,0.004483,0.004602,0.004766,0.006162,0.00523,0.0050486
utilization_active_window_station_4_1_inspection,0.004539,0.004761,0.004918,0.0063,0.005321,0.005167799999999999
max_queue_station_4_1_inspection,0,0,0,0,0,0.0
average_queue_station_4_1_inspection,0,0,0,0,0,0.0
average_wait_station_4_1_inspection_seconds,0.009,0.0082,0.004,0.6687,0.005,0.13898
availability_station_4_1_inspection,0.997305,0.999731,1,0.75756,0.998646,0.9506484000000001
utilization_overall_station_5_top_cover,0.001337,0.001415,0.001888,0.001564,0.001629,0.0015666
utilization_active_window_station_5_top_cover,0.001502,0.001574,0.001989,0.001677,0.001713,0.0016909999999999998
max_queue_station_5_top_cover,0,0,0,1,0,0.2
average_queue_station_5_top_cover,0,0,0,0.005236,0,0.0010472
average_wait_station_5_top_cover_seconds,0,0.0414,0.0298,0.0737,0.0168,0.03234
availability_station_5_top_cover,1,1,1,1,1,1.0
utilization_overall_station_5_1_top_cover,0.077455,0.082062,0.075467,0.075882,0.078449,0.07786299999999999
utilization_active_window_station_5_1_top_cover,0.077533,0.082142,0.075541,0.075957,0.078528,0.0779402
max_queue_station_5_1_top_cover,1,1,1,1,1,1.0
average_queue_station_5_1_top_cover,0.00288,0.000768,0.000551,0.002208,0.000665,0.0014144000000000001
average_wait_station_5_1_top_cover_seconds,0.3904,1.0538,0.3604,0.3367,0.4887,0.526
availability_station_5_1_top_cover,0.973073,0.902421,0.973645,0.976325,0.959526,0.9569980000000001
utilization_overall_station_6_packaging,7.3e-05,8.5e-05,0.000233,0.000285,6.5e-05,0.00014819999999999997
utilization_active_window_station_6_packaging,0.000134,0.000242,0.000312,0.000328,7.3e-05,0.00021779999999999998
max_queue_station_6_packaging,0,0,0,0,0,0.0
average_queue_station_6_packaging,0,0,0,0,0,0.0
average_wait_station_6_packaging_seconds,0,0,0,0,0,0.0
availability_station_6_packaging,1,1,1,1,1,1.0
utilization_overall_station_6_1_packaging,0.066632,0.065549,0.06784,0.067784,0.066816,0.0669242
utilization_active_window_station_6_1_packaging,0.0667,0.065614,0.067906,0.067851,0.066884,0.066991
max_queue_station_6_1_packaging,0,1,0,0,0,0.2
average_queue_station_6_1_packaging,0,0.000216,0,0,0,4.32e-05
average_wait_station_6_1_packaging_seconds,0.0052,0.0043,0.4348,0.2844,0.0051,0.14676
availability_station_6_1_packaging,0.999947,0.999868,0.962562,0.966275,0.999734,0.9856771999999999
order_qty_fuse0,3044,3069,3068,3053,3043,3055.4
order_qty_fuse1,3036,3061,3072,3043,3045,3051.4
order_qty_fuse2,3099,3147,3157,3143,3118,3132.8
