station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28927.8,0.0,516850.2,22,0.05771,0.4162,1824.6,4384,0.055629,0.055969,,
2,Station 1.1: Bottom cover,28914.6,0.0,516801.6,22,0.057749,0.4163,1823.6,4381,0.055604,0.055949,,
3,Station 2: Drill station,84666.4,45.6,516899.6,8,0.011052,0.77,6270.0,8143,0.162816,0.163811,,
4,Station 2.1: Drill station,6479.2,72.2,516032.4,8,0.131621,1.549,965.0,623,0.01246,0.012558,,
5,Station 3: Robot cell,519559.2,95.0,519654.2,9,7.592719,2416.19,4247662.0,1758,0.999126,1.0,,
6,Station 3.1: Robot cell,519638.8,135.0,519773.8,10,7.740216,2443.1981,4307358.2,1763,0.999279,1.0,,
7,Station 3.2: Robot cell,519384.0,181.6,519565.6,8,6.501988,2077.088,3657752.0,1761,0.998789,1.0,,
8,Station 3.3: Robot cell,518905.2,185.4,519090.6,8,6.063636,1930.5957,3397848.4,1760,0.997869,1.0,,
9,Station 3.4: Robot cell,518101.2,232.0,518333.2,7,5.067729,1643.4466,2887535.6,1757,0.996323,1.0,,
10,Station 4: Inspection,15514.8,377.6,519834.9,1,0.000271,0.0298,220.5,7388,0.029835,0.029867,,
11,Station 4.1: Inspection,2889.6,4739.2,518428.1,0,0.0,0.0047,6.5,1376,0.005557,0.005625,,
12,Station 5: Top cover,759.0,24673.9,512272.3,0,0.0,0.0,0.0,165,0.00146,0.001557,,
13,Station 5.1: Top cover,39555.4,510.7,519970.5,1,0.001396,0.1273,1094.8,8599,0.076066,0.076147,,
14,Station 6: Packaging,44.0,58068.1,504705.3,0,0.0,0.0,0.0,11,8.5e-05,9.9e-05,,
15,Station 6.1: Packaging,35012.0,554.3,520013.5,0,0.0,0.0014,12.6,8753,0.067329,0.067401,,
