disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
Top Cover Stuck,2392.0,5.1,0.0,45837.0,47942.0
Bottom Cover Stuck,2392.0,1,0.0,53730.0,55787.0
Top Cover Stuck,2392.0,5,0.0,74093.0,76083.0
Bottom Cover Misaligned,2288.0,1,0.0,76762.0,78678.0
Top Cover Misaligned,2288.0,5,0.0,95975.0,97900.0
efficiency_loss,0.0,4.1,15.0,104071.0,104755.0
Bottom Cover Misaligned,2288.0,1.1,0.0,154713.0,156269.0
emergency_order,0.0,,0.0,170449.0,
PLC Failure,3312.0,5.1,0.0,175172.0,178369.0
Bottom Cover Misaligned,2288.0,1.1,0.0,179821.0,181578.0
efficiency_loss,0.0,4,87.0,184600.0,185323.0
PLC Failure,3312.0,6.1,0.0,191927.0,194520.0
Camera Dirty,2496.0,4,0.0,206938.0,208661.0
emergency_order,0.0,,0.0,237592.0,
PLC Failure,3312.0,4,0.0,238809.0,241732.0
Misaligned Material,10440.0,3.3,0.0,240463.0,247674.0
Drill To Dull,9152.0,2,0.0,272836.0,281171.0
efficiency_loss,0.0,2,80.0,309630.0,310275.0
efficiency_loss,0.0,5.1,31.0,329737.0,330980.0
emergency_order,0.0,,0.0,331028.0,
Drill To Dull,9152.0,2.1,0.0,344459.0,351152.0
emergency_order,0.0,,0.0,354141.0,
Bottom Cover Stuck,2392.0,1.1,0.0,358110.0,360154.0
efficiency_loss,0.0,1,14.0,361771.0,362654.0
emergency_order,0.0,,0.0,369021.0,
efficiency_loss,0.0,4.1,67.0,382812.0,383420.0
Misaligned Material,10440.0,3,0.0,384064.0,391457.0
Camera Dirty,2496.0,4.1,0.0,405439.0,407495.0
Top Cover Misaligned,2288.0,5.1,0.0,424077.0,426203.0
efficiency_loss,0.0,5.1,62.0,436797.0,438285.0
emergency_order,0.0,,0.0,439450.0,
emergency_order,0.0,,0.0,447848.0,
inspection_failure,0.0,,0.0,449497.0,
Misaligned Material,10440.0,3.2,0.0,455739.0,461494.0
inspection_failure,0.0,,0.0,457340.0,
Misaligned Material,10440.0,3.4,0.0,458007.0,465902.0
inspection_failure,0.0,,0.0,467559.0,
emergency_order,0.0,,0.0,469836.0,
efficiency_loss,0.0,6.1,70.0,478430.0,478853.0
efficiency_loss,0.0,2.1,58.0,488365.0,489022.0
emergency_order,0.0,,0.0,504645.0,
emergency_order,0.0,,0.0,507639.0,
efficiency_loss,0.0,5,57.0,519725.0,521116.0
inspection_failure,0.0,,0.0,520568.0,
PLC Failure,3312.0,1,0.0,549962.0,552587.0
emergency_order,0.0,,0.0,553267.0,
efficiency_loss,0.0,4,43.0,554422.0,554974.0
efficiency_loss,0.0,6,79.0,574530.0,574889.0
