material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9151,100000,9151,90849,0
Fuse,9227,100000,9227,90773,0
PCB,9151,100000,9151,90849,0
Top cover,9151,100000,9151,90849,0
