material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,1312,100000,1312,98688,0
Fuse,1323,100000,1323,98677,0
PCB,1312,100000,1312,98688,0
Top cover,1312,100000,1312,98688,0
