material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,3,1000,3,997,0
Fuse,3,1000,3,997,0
PCB,3,1000,3,997,0
Top cover,3,1000,3,997,0
