kpi_name,value
total_units_ordered,2
makespan_seconds,293.7
average_cycle_time_seconds,84.5
cycle_time_from_1_over_throughput_seconds,146.85
throughput_units_per_second,0.00681
throughput_units_per_hour,24.5148
average_flow_time_seconds,251.45
total_wait_time_seconds,84.5
utilization_overall_station_1_bottom_cover,0.044944
utilization_active_window_station_1_bottom_cover,1.0
max_queue_station_1_bottom_cover,1
average_queue_station_1_bottom_cover,0.022472
average_wait_station_1_bottom_cover_seconds,3.3
utilization_overall_station_2_drill_station,0.070821
utilization_active_window_station_2_drill_station,1.0
max_queue_station_2_drill_station,1
average_queue_station_2_drill_station,0.012938
average_wait_station_2_drill_station_seconds,1.9
utilization_overall_station_3_robot_cell,0.575417
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,1
average_queue_station_3_robot_cell,0.252298
average_wait_station_3_robot_cell_seconds,37.05
utilization_overall_station_4_inspection,0.0143
utilization_active_window_station_4_inspection,0.048499
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.0
average_wait_station_4_inspection_seconds,0.0
utilization_overall_station_5_top_cover,0.031324
utilization_active_window_station_5_top_cover,0.103255
max_queue_station_5_top_cover,1
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
utilization_overall_station_6_packaging,0.027239
utilization_active_window_station_6_packaging,0.090395
max_queue_station_6_packaging,1
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
order_qty_fuse2,2
