material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,2,1000,2,998,0
Fuse,4,10,4,6,0
PCB,2,1000,2,998,0
Top cover,2,1000,2,998,0
