station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,524629.601,0.0,559437.4026,34,1.22871,152.2387,722220.3478,4744,0.928736,0.937781,,
2,Station 1.1: Bottom cover,523074.6257,0.0,559535.0026,34,0.720861,89.1473,422201.6725,4736,0.925983,0.934838,,
3,Station 2: Drill station,552012.4621,151.2,559923.0681,18,4.132459,816.2441,2612797.3864,3201,0.977211,0.986138,,
4,Station 2.1: Drill station,550978.4926,191.2,559720.0026,23,2.429599,518.5574,1657309.3547,3196,0.97538,0.984719,,
5,Station 2.2: Drill station,550834.152,303.4,561315.8015,18,2.653642,548.588,1754933.1618,3199,0.975125,0.981857,,
6,Station 3: Robot cell,558658.3764,367.0,561884.5026,22,5.35533,1785.4789,3517393.4422,1970,0.988976,0.994908,,
7,Station 3.1: Robot cell,557654.5444,447.0,561013.2015,14,3.505864,1216.1054,2384782.7429,1961,0.987199,0.994806,,
8,Station 3.2: Robot cell,553060.1837,599.2,561772.8015,11,1.105479,484.5159,946259.5284,1953,0.979066,0.985542,,
9,Station 3.3: Robot cell,556475.6411,603.8,564168.3786,14,2.601224,936.9574,1837373.4206,1961,0.985112,0.987421,,
10,Station 3.4: Robot cell,556427.4662,800.6,561654.3924,19,4.343207,1477.4508,2892848.7555,1958,0.985027,0.992108,,
11,Station 4: Inspection,549404.297,649.6,564046.9786,11,2.082756,303.3895,1444437.4641,4761,0.972594,0.975163,,
12,Station 4.1: Inspection,546756.5914,966.4,564404.9786,14,2.26616,326.427,1545305.3945,4734,0.967906,0.970393,,
13,Station 5: Top cover,543332.9312,1300.2,564129.1786,9,2.100909,457.3602,1459436.2739,3191,0.961846,0.965361,,
14,Station 5.1: Top cover,544550.3727,1015.8,564690.7786,18,2.632852,553.511,1762379.0448,3184,0.964001,0.966072,,
15,Station 5.2: Top cover,546055.1293,878.2,563445.5786,11,2.197631,470.38,1508978.9457,3208,0.966665,0.970648,,
16,Station 6: Packaging,537569.2041,1448.8,564885.7786,5,0.879839,157.8002,745921.6007,4727,0.951642,0.954089,,
17,Station 6.1: Packaging,540596.733,1092.0,564527.7786,6,0.900967,160.9796,765618.7481,4756,0.957002,0.959465,,
