station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,523532.3068,0.0,564002.0,34,0.943412,118.0909,559278.4221,4736,0.925437,0.928245,,
2,Station 1.1: Bottom cover,522689.3307,0.0,563889.8,34,0.782379,97.0587,459378.6812,4733,0.923947,0.926935,,
3,Station 2: Drill station,551837.4114,151.2,564384.4,25,4.230408,846.4819,2700277.1798,3190,0.975471,0.978031,,
4,Station 2.1: Drill station,551225.8867,191.2,564319.4,21,0.748434,217.6249,694658.6963,3192,0.97439,0.977129,,
5,Station 2.2: Drill station,549591.787,303.4,564183.0,19,2.563168,540.5638,1720074.1486,3182,0.971501,0.974662,,
6,Station 3: Robot cell,556237.4315,367.0,565056.4,20,9.743865,3071.3428,6007546.5732,1956,0.983249,0.985033,,
7,Station 3.1: Robot cell,555319.309,447.0,564894.4,16,1.398773,589.1493,1152375.9831,1956,0.981626,0.983828,,
8,Station 3.2: Robot cell,553968.1324,599.2,564680.8,15,4.911088,1627.0142,3184066.7179,1957,0.979237,0.982071,,
9,Station 3.3: Robot cell,552336.8397,603.8,564821.2,13,2.18638,804.948,1572063.4968,1953,0.976354,0.978943,,
10,Station 3.4: Robot cell,547282.1536,800.6,564664.4,3,0.613484,327.7815,636879.4205,1943,0.967419,0.970593,,
11,Station 4: Inspection,548245.3034,649.6,565110.2,11,2.394693,340.3786,1616117.4682,4748,0.969121,0.971273,,
12,Station 4.1: Inspection,546500.9047,966.4,565233.0,10,1.608254,248.9568,1176320.8948,4725,0.966038,0.968515,,
13,Station 5: Top cover,541982.9448,1300.2,565436.0,13,2.497638,530.8216,1685358.5782,3175,0.958051,0.960731,,
14,Station 5.1: Top cover,543679.6361,1015.8,565518.8,11,1.664369,379.2263,1210111.1908,3191,0.961051,0.963112,,
15,Station 5.2: Top cover,546125.8484,878.2,565347.2,19,2.736628,570.1072,1822632.6138,3197,0.965375,0.967504,,
16,Station 6: Packaging,536884.6282,1448.8,565713.8,5,0.796567,148.6744,701594.5569,4719,0.949039,0.951476,,
17,Station 6.1: Packaging,539402.2886,1092.0,565631.0,7,1.017921,173.8431,824537.9641,4743,0.95349,0.955474,,
