disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
emergency_order,0.0,,0.0,12181.0,
efficiency_loss,0.0,4.1,44.0,18548.0,18879.0
emergency_order,0.0,,0.0,46316.0,
Bottom Cover Stuck,1196.0,1,0.0,53730.0,54758.0
inspection_failure,0.0,,0.0,73174.0,
Bottom Cover Misaligned,1144.0,1,0.0,76762.0,77720.0
inspection_failure,0.0,,0.0,102791.0,
Drill To Dull,4576.0,2.2,0.0,103267.0,106035.0
emergency_order,0.0,,0.0,117981.0,
Misaligned Material,5220.0,3.2,0.0,118241.0,122447.0
efficiency_loss,0.0,4.1,69.0,122859.0,123166.0
Drill To Dull,4576.0,2.1,0.0,129262.0,132300.0
Camera Dirty,1248.0,4,0.0,135691.0,136528.0
PLC Failure,1656.0,6.1,0.0,140134.0,141567.0
Bottom Cover Misaligned,1144.0,1.1,0.0,154713.0,155491.0
Top Cover Misaligned,1144.0,5.2,0.0,159992.0,160842.0
efficiency_loss,0.0,5.1,62.0,164724.0,165449.0
Bottom Cover Misaligned,1144.0,1.1,0.0,179821.0,180699.0
Cover Wrong Orientation,4368.0,3.1,0.0,186066.0,189206.0
emergency_order,0.0,,0.0,186992.0,
Cover Wrong Orientation,4368.0,3.4,0.0,192092.0,195542.0
Camera Dirty,1248.0,4.1,0.0,194930.0,195935.0
efficiency_loss,0.0,1.1,80.0,203757.0,204195.0
Misaligned Material,5220.0,3.4,0.0,217844.0,221611.0
efficiency_loss,0.0,4,85.0,219133.0,219464.0
efficiency_loss,0.0,5.2,42.0,220512.0,221199.0
Cover Wrong Orientation,4368.0,3.2,0.0,240463.0,243826.0
emergency_order,0.0,,0.0,256250.0,
emergency_order,0.0,,0.0,257974.0,
Top Cover Misaligned,1144.0,5.1,0.0,284963.0,285750.0
Top Cover Stuck,1196.0,5.2,0.0,289964.0,290998.0
emergency_order,0.0,,0.0,313225.0,
emergency_order,0.0,,0.0,323311.0,
efficiency_loss,0.0,6,15.0,323448.0,323633.0
inspection_failure,0.0,,0.0,333293.0,
Top Cover Misaligned,1144.0,5,0.0,333419.0,334333.0
efficiency_loss,0.0,2.1,82.0,333629.0,333897.0
emergency_order,0.0,,0.0,335089.0,
emergency_order,0.0,,0.0,341637.0,
efficiency_loss,0.0,5,57.0,344847.0,345461.0
Bottom Cover Stuck,1196.0,1.1,0.0,357231.0,358253.0
emergency_order,0.0,,0.0,358321.0,
PLC Failure,1656.0,5,0.0,359317.0,360735.0
efficiency_loss,0.0,1,14.0,360813.0,361254.0
inspection_failure,0.0,,0.0,362669.0,
Cover Wrong Orientation,4368.0,3.3,0.0,364818.0,368415.0
efficiency_loss,0.0,2,69.0,377119.0,377390.0
emergency_order,0.0,,0.0,377294.0,
emergency_order,0.0,,0.0,420181.0,
emergency_order,0.0,,0.0,423737.0,
emergency_order,0.0,,0.0,426875.0,
emergency_order,0.0,,0.0,440577.0,
emergency_order,0.0,,0.0,448097.0,
emergency_order,0.0,,0.0,448409.0,
Misaligned Material,5220.0,3.3,0.0,448755.0,453478.0
efficiency_loss,0.0,6.1,11.0,448793.0,448979.0
Misaligned Material,5220.0,3.1,0.0,449288.0,452958.0
Top Cover Stuck,1196.0,5,0.0,456007.0,457025.0
efficiency_loss,0.0,5,23.0,471116.0,471854.0
emergency_order,0.0,,0.0,491550.0,
efficiency_loss,0.0,5.1,44.0,495807.0,496510.0
emergency_order,0.0,,0.0,501844.0,
Top Cover Stuck,1196.0,5.1,0.0,514420.0,515508.0
efficiency_loss,0.0,4,29.0,525493.0,525885.0
Drill Broke,10400.0,2.1,0.0,526618.0,532964.0
emergency_order,0.0,,0.0,535245.0,
Drill To Dull,4576.0,2,0.0,535841.0,539210.0
efficiency_loss,0.0,2.2,86.0,547410.0,547676.0
PLC Failure,1656.0,1,0.0,549962.0,551275.0
emergency_order,0.0,,0.0,566674.0,
efficiency_loss,0.0,5.2,67.0,568230.0,568860.0
