disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
Bottom Cover Misaligned,1144.0,1,0.0,14996.0,15872.0
Camera Dirty,1248.0,4,0.0,19039.0,19972.0
emergency_order,0.0,,0.0,19575.0,
efficiency_loss,0.0,1.1,22.0,35608.0,36068.0
emergency_order,0.0,,0.0,37452.0,
efficiency_loss,0.0,6.1,14.0,47441.0,47603.0
emergency_order,0.0,,0.0,53159.0,
efficiency_loss,0.0,5.1,73.0,55624.0,56310.0
Bottom Cover Misaligned,1144.0,1.1,0.0,79937.0,80910.0
Drill To Dull,4576.0,2.1,0.0,82304.0,85324.0
efficiency_loss,0.0,4.1,76.0,84072.0,84424.0
PLC Failure,1656.0,1,0.0,88015.0,89585.0
emergency_order,0.0,,0.0,139180.0,
Top Cover Stuck,1196.0,5,0.0,149563.0,150571.0
emergency_order,0.0,,0.0,166630.0,
efficiency_loss,0.0,4,80.0,166708.0,167065.0
Drill To Dull,4576.0,2,0.0,178227.0,181680.0
efficiency_loss,0.0,5.1,29.0,190475.0,191152.0
emergency_order,0.0,,0.0,194310.0,
emergency_order,0.0,,0.0,216041.0,
emergency_order,0.0,,0.0,223770.0,
efficiency_loss,0.0,2,85.0,244315.0,244591.0
emergency_order,0.0,,0.0,246877.0,
emergency_order,0.0,,0.0,274965.0,
emergency_order,0.0,,0.0,281597.0,
efficiency_loss,0.0,5,67.0,293648.0,294334.0
emergency_order,0.0,,0.0,293778.0,
efficiency_loss,0.0,4,65.0,294616.0,294976.0
efficiency_loss,0.0,1,78.0,341786.0,342223.0
inspection_failure,0.0,,0.0,342363.0,
Misaligned Material,5220.0,3.3,0.0,346645.0,349678.0
inspection_failure,0.0,,0.0,352209.0,
inspection_failure,0.0,,0.0,356469.0,
Cover Wrong Orientation,4368.0,3.2,0.0,366504.0,369147.0
inspection_failure,0.0,,0.0,373931.0,
emergency_order,0.0,,0.0,374198.0,
Top Cover Stuck,1196.0,5.1,0.0,379693.0,380778.0
Misaligned Material,5220.0,3,0.0,426168.0,429043.0
Top Cover Misaligned,1144.0,5.1,0.0,429299.0,430246.0
efficiency_loss,0.0,2.1,90.0,452004.0,452304.0
emergency_order,0.0,,0.0,457761.0,
emergency_order,0.0,,0.0,476722.0,
efficiency_loss,0.0,4.1,62.0,480311.0,480656.0
Cover Wrong Orientation,4368.0,3,0.0,481894.0,484969.0
Bottom Cover Stuck,1196.0,1.1,0.0,485125.0,486171.0
Top Cover Misaligned,1144.0,5,0.0,490783.0,491698.0
efficiency_loss,0.0,5,87.0,492121.0,492832.0
Misaligned Material,5220.0,3.2,0.0,494868.0,498298.0
PLC Failure,1656.0,6,0.0,495897.0,497297.0
efficiency_loss,0.0,6,53.0,511439.0,511614.0
Camera Dirty,1248.0,4.1,0.0,546580.0,547459.0
Bottom Cover Stuck,1196.0,1,0.0,567900.0,568985.0
