unit_id,orderID,variant,first_arrival_time_s,start_time_s,completion_time_s,flow_time_s,active_flow_time_s,time_spent_producing,throughput_efficiency,Attempts,route_taken
U7925,317,FUSE0,0.0,0.0,1208.0,1208.0,1208.0,941.0,0.778974,1,p:1.1.1.1.3.2
U7926,317,FUSE0,0.0,0.0,1365.6,1365.6,1365.6,941.0,0.689074,1,p:2.2.2.1.2.2
U7927,317,FUSE0,0.0,112.2,1739.6,1739.6,1739.6,941.0,0.540929,1,p:1.3.3.1.2.1
U7928,317,FUSE0,0.0,112.2,1564.8,1564.8,1564.8,941.0,0.601355,1,p:2.1.4.2.2.1
U7929,317,FUSE0,0.0,224.4,1481.6,1481.6,1481.6,941.0,0.635124,1,p:1.2.1.1.3.2
U7930,317,FUSE0,0.0,224.4,1647.2,1647.2,1647.2,941.0,0.571272,1,p:2.3.2.2.3.2
U7931,317,FUSE0,0.0,336.6,1801.6,1801.6,1801.6,941.0,0.522313,1,p:1.1.5.1.1.2
U7932,317,FUSE0,0.0,336.6,1917.6,1917.6,1917.6,941.0,0.490718,1,p:2.2.3.2.2.2
U7933,317,FUSE1,0.0,448.8,1859.2,1859.2,1859.2,1003.0,0.539479,1,p:1.3.1.1.3.1
U7934,317,FUSE1,0.0,448.8,2089.2,2089.2,2089.2,1003.0,0.480088,1,p:2.1.4.2.2.1
U7935,317,FUSE1,0.0,561.0,2036.8,2036.8,2036.8,1003.0,0.492439,1,p:1.2.2.1.1.2
U7936,317,FUSE1,0.0,561.0,2152.8,2152.8,2152.8,1003.0,0.465905,1,p:2.3.3.1.3.2
U7937,317,FUSE1,0.0,673.2,2264.0,2264.0,2264.0,1003.0,0.443021,1,p:1.1.5.2.2.1
U7938,317,FUSE1,0.0,673.2,2272.0,2272.0,2272.0,1003.0,0.441461,1,p:2.2.1.1.1.2
U7939,317,FUSE1,0.0,785.4,2591.6,2591.6,2591.6,1003.0,0.38702,1,p:1.3.1.1.1.2
U7940,317,FUSE1,0.0,785.4,2380.0,2380.0,2380.0,1003.0,0.421429,1,p:2.1.2.2.3.1
U7941,317,FUSE2,0.0,897.6,2434.0,2434.0,2434.0,1035.4,0.42539,1,p:1.2.4.1.2.2
U7942,317,FUSE2,0.0,897.6,2496.0,2496.0,2496.0,1035.4,0.414824,1,p:2.3.3.2.3.1
U7943,317,FUSE2,0.0,1009.8,2636.2,2636.2,2636.2,1035.4,0.392762,1,p:1.1.5.2.2.1
U7944,317,FUSE2,0.0,1009.8,2845.0,2845.0,2845.0,1035.4,0.363937,1,p:2.2.1.2.1.2
U7945,317,FUSE2,0.0,1122.0,2927.0,2927.0,2927.0,1035.4,0.353741,1,p:1.2.3.1.3.1
U7946,317,FUSE2,0.0,1122.0,2707.6,2707.6,2707.6,1035.4,0.382405,1,p:2.3.2.1.3.2
U7947,317,FUSE2,0.0,1234.2,2811.0,2811.0,2811.0,1035.4,0.368339,1,p:1.1.4.1.2.1
U7948,317,FUSE2,0.0,1234.2,3081.8,3081.8,3081.8,1035.4,0.335972,1,p:2.2.2.1.1.2
U6152,246,FUSE0,0.0,1346.4,2965.8,2965.8,2965.8,941.0,0.317284,1,p:1.3.5.2.2.2
U6153,246,FUSE0,0.0,1346.4,3197.8,3197.8,3197.8,941.0,0.294265,1,p:2.1.1.1.2.2
U6155,246,FUSE0,0.0,1458.6,3059.2,3059.2,3059.2,941.0,0.307597,1,p:2.3.4.2.3.1
U6154,246,FUSE0,0.0,1458.6,3313.8,3313.8,3313.8,941.0,0.283964,1,p:1.2.3.2.1.2
U6156,246,FUSE0,0.0,1570.8,3237.2,3237.2,3237.2,941.0,0.290683,1,p:1.1.5.1.3.1
U6157,246,FUSE0,0.0,1570.8,3429.8,3429.8,3429.8,941.0,0.27436,1,p:2.2.4.1.1.2
U6158,246,FUSE0,0.0,1683.0,3469.2,3469.2,3469.2,941.0,0.271244,1,p:1.3.1.2.3.1
U6159,246,FUSE0,0.0,1683.0,8253.2,8253.2,6834.5,1882.0,0.275368,2,p:2.2.2.1.2.1
U6160,246,FUSE1,0.0,1795.2,3727.6,3727.6,3727.6,1003.0,0.269074,1,p:1.2.1.1.2.2
U6161,246,FUSE1,0.0,1795.2,3585.2,3585.2,3585.2,1003.0,0.279761,1,p:2.3.3.2.2.1
U6162,246,FUSE1,0.0,1907.4,3566.8,3566.8,3566.8,1003.0,0.281204,1,p:1.1.5.1.3.2
U6163,246,FUSE1,0.0,1907.4,3959.6,3959.6,3959.6,1003.0,0.253308,1,p:2.2.5.1.3.2
U6164,246,FUSE1,0.0,2019.6,3701.2,3701.2,3701.2,1003.0,0.270993,1,p:1.3.2.1.1.1
U6165,246,FUSE1,0.0,2019.6,3817.2,3817.2,3817.2,1003.0,0.262758,1,p:2.1.4.2.3.1
U6166,246,FUSE1,0.0,2131.8,4049.2,4049.2,4049.2,1003.0,0.247703,1,p:1.2.2.1.1.1
U6167,246,FUSE1,0.0,2131.8,3933.2,3933.2,3933.2,1003.0,0.255009,1,p:2.3.1.2.2.1
U6168,246,FUSE2,0.0,2244.0,3843.6,3843.6,3843.6,1035.4,0.269383,1,p:1.1.3.2.1.2
U6169,246,FUSE2,0.0,2244.0,4470.0,4470.0,4470.0,1035.4,0.231633,1,p:2.2.1.1.2.2
U6170,246,FUSE2,0.0,2356.2,4080.4,4080.4,4080.4,1035.4,0.25375,1,p:1.3.4.1.2.2
U6171,246,FUSE2,0.0,2356.2,4238.0,4238.0,4238.0,1035.4,0.244313,1,p:2.1.5.1.1.2
U6172,246,FUSE2,0.0,2468.4,4281.2,4281.2,4281.2,1035.4,0.241848,1,p:1.2.2.2.2.1
U6173,246,FUSE2,0.0,2468.4,4585.8,4585.8,4585.8,1035.4,0.225784,1,p:2.3.3.2.3.1
U6174,246,FUSE2,0.0,2580.6,4165.2,4165.2,4165.2,1035.4,0.248584,1,p:1.1.3.2.3.1
U6175,246,FUSE2,0.0,2580.6,4624.6,4624.6,4624.6,1035.4,0.22389,1,p:2.2.5.1.1.2
U8152,326,FUSE0,0.0,2692.8,4740.6,4740.6,4740.6,941.0,0.198498,1,p:1.3.1.1.3.2
U8153,326,FUSE0,0.0,2692.8,4354.0,4354.0,4354.0,941.0,0.216123,1,p:2.1.4.1.3.2
U8154,326,FUSE0,0.0,2805.0,4469.8,4469.8,4469.8,941.0,0.210524,1,p:1.2.2.2.1.1
U8155,326,FUSE0,0.0,2805.0,4822.6,4822.6,4822.6,941.0,0.195123,1,p:2.3.3.2.1.1
U8156,326,FUSE0,0.0,2917.2,4856.6,4856.6,4856.6,941.0,0.193757,1,p:1.2.5.1.2.2
U8157,326,FUSE0,0.0,2917.2,4938.6,4938.6,4938.6,941.0,0.19054,1,p:2.3.1.2.3.1
U8158,326,FUSE0,0.0,3029.4,5093.4,5093.4,5093.4,941.0,0.184749,1,p:1.1.3.1.3.2
U8159,326,FUSE0,0.0,3029.4,5054.6,5054.6,5054.6,941.0,0.186167,1,p:2.2.1.2.2.1
U8160,326,FUSE1,0.0,3141.6,4977.4,4977.4,4977.4,1003.0,0.201511,1,p:1.3.2.1.1.2
U8161,326,FUSE1,0.0,3141.6,4701.8,4701.8,4701.8,1003.0,0.213323,1,p:2.1.4.2.2.1
U8162,326,FUSE1,0.0,3253.8,5330.2,5330.2,5330.2,1003.0,0.188173,1,p:1.2.2.1.1.2
U8163,326,FUSE1,0.0,3253.8,5175.4,5175.4,5175.4,1003.0,0.193801,1,p:2.3.4.2.1.1
U8164,326,FUSE1,0.0,3366.0,5291.4,5291.4,5291.4,1003.0,0.189553,1,p:1.1.3.2.3.1
U8165,326,FUSE1,0.0,3366.0,5446.2,5446.2,5446.2,1003.0,0.184165,1,p:2.2.4.1.3.2
U8166,326,FUSE1,0.0,3478.2,5407.4,5407.4,5407.4,1003.0,0.185487,1,p:1.3.1.2.2.1
U8167,326,FUSE1,0.0,3478.2,5209.4,5209.4,5209.4,1003.0,0.192537,1,p:2.1.5.1.2.2
U8168,326,FUSE2,0.0,3590.4,5760.2,5760.2,5760.2,1035.4,0.179751,1,p:1.2.1.1.2.1
U8169,326,FUSE2,0.0,3590.4,5562.2,5562.2,5562.2,1035.4,0.186149,1,p:2.3.5.1.2.2
U8170,326,FUSE2,0.0,3702.6,5644.2,5644.2,5644.2,1035.4,0.183445,1,p:1.1.3.1.3.1
U8171,326,FUSE2,0.0,3702.6,5799.0,5799.0,5799.0,1035.4,0.178548,1,p:2.2.5.2.3.2
U8172,326,FUSE2,0.0,3814.8,6020.4,6020.4,6020.4,1035.4,0.171982,1,p:1.3.3.1.3.1
U8173,326,FUSE2,0.0,3814.8,5528.2,5528.2,5528.2,1035.4,0.187294,1,p:2.1.2.2.1.1
U8174,326,FUSE2,0.0,3927.0,6412.0,6412.0,6412.0,1035.4,0.161478,1,p:1.2.3.2.1.2
U8175,326,FUSE2,0.0,3927.0,5904.4,5904.4,5904.4,1035.4,0.175361,1,p:2.3.2.1.1.1
U8176,326,FUSE2,1239.3,4039.2,5683.0,4443.7,4443.7,1035.4,0.233004,1,p:1.1.4.2.1.2
U4679,188,FUSE0,1396.9,4151.4,6059.2,4662.3,4662.3,941.0,0.201832,1,p:1.3.4.2.1.2
U4680,188,FUSE0,1512.9,4263.6,6528.0,5015.1,5015.1,941.0,0.187633,1,p:1.2.1.2.3.2
U4681,188,FUSE0,1596.1,4375.8,6257.2,4661.1,4661.1,941.0,0.201884,1,p:1.1.1.1.1.1
U4682,188,FUSE0,1678.5,4039.2,6136.4,4457.9,4457.9,941.0,0.211086,1,p:2.2.5.1.2.1
