material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,1327,100000,1327,98673,0
Fuse,1344,100000,1344,98656,0
PCB,1327,100000,1327,98673,0
Top cover,1327,100000,1327,98673,0
