station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,562728.2053,0.0,592637.9645,34,1.557345,189.8022,966472.7963,5092,0.939872,0.949531,,
2,Station 1.1: Bottom cover,561631.7189,0.0,592675.1645,34,0.907608,114.855,584267.1312,5087,0.93804,0.947621,,
3,Station 2: Drill station,592882.3212,151.2,594729.7855,16,4.682807,916.8556,3162235.1044,3449,0.990235,0.997147,,
4,Station 2.1: Drill station,590778.7233,191.2,594179.4,14,4.309706,858.1475,2917701.3728,3400,0.986722,0.994597,,
5,Station 2.2: Drill station,586853.4916,303.4,594715.4501,19,4.369947,861.3738,2940730.2955,3414,0.980166,0.987284,,
6,Station 3: Robot cell,597690.4,367.0,598131.4645,23,10.550657,3273.0325,6978105.233,2132,0.998266,0.999876,,
7,Station 3.1: Robot cell,594825.1633,447.0,595549.2,17,7.369348,2373.6783,4987098.0682,2101,0.99348,0.999534,,
8,Station 3.2: Robot cell,592993.9047,599.2,595491.6,8,2.49809,908.1456,1901656.9506,2094,0.990421,0.996809,,
9,Station 3.3: Robot cell,589724.4557,603.8,595387.6,5,0.935159,430.9538,897245.8832,2082,0.984961,0.991494,,
10,Station 3.4: Robot cell,583497.2864,800.6,595169.6,7,0.698058,356.8089,735026.3389,2060,0.97456,0.981709,,
11,Station 4: Inspection,588005.1259,649.6,598288.0645,9,0.840517,156.1017,796743.3286,5104,0.982089,0.983881,,
12,Station 4.1: Inspection,577935.342,966.4,595830.6,6,0.64327,130.2527,653217.1962,5015,0.965271,0.971542,,
13,Station 5: Top cover,566985.4555,1300.2,596018.8,7,0.421274,115.2141,383432.3941,3328,0.946982,0.953368,,
14,Station 5.1: Top cover,581562.2454,1015.8,596116.4,7,0.492258,136.9901,468917.0365,3423,0.971328,0.97725,,
15,Station 5.2: Top cover,588468.0456,878.2,598573.8645,8,0.734352,184.1129,638319.3338,3467,0.982862,0.984561,,
16,Station 6: Packaging,569006.1073,1448.8,596287.8,7,0.318264,74.1474,370662.6285,4999,0.950357,0.956572,,
17,Station 6.1: Packaging,579449.6717,1092.0,598728.8645,5,0.194777,62.5461,318547.451,5093,0.9678,0.969568,,
