material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9886,100000,9886,90114,0
Fuse,9955,100000,9955,90045,0
PCB,9886,100000,9886,90114,0
Top cover,9886,100000,9886,90114,0
