material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,14405,100000,13451,86549,0
Fuse,14386,100000,13419,86581,0
PCB,14405,100000,13451,86549,0
Top cover,14405,100000,13451,86549,0
