material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9437,100000,9437,90563,0
Fuse,9508,100000,9508,90492,0
PCB,9437,100000,9437,90563,0
Top cover,9437,100000,9437,90563,0
