order_id,due date,start_time,finish_time,through_put_time,lateness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
297,101823,78367.8,83598.0396,5230.239600000001,-18224.960399999996,2,FUSE0,9,FUSE1,9,FUSE2,8,1,1,4,3
298,296833,247317.6353,253046.5353,5728.899999999994,-43786.46470000001,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,10,9
299,59948,36758.0,40979.7,4221.699999999997,-18968.300000000003,5,FUSE0,8,FUSE1,8,FUSE2,7,1,1,2,2
300,250362,200290.4353,207736.2083,7445.7729999999865,-42625.7917,1,FUSE0,9,FUSE1,9,FUSE2,8,2,2,8,8
301,32671,22011.0,26572.9,4561.9000000000015,-6098.0999999999985,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1,1,1
302,171974,141155.0,146105.9,4950.899999999994,-25868.100000000006,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,6,6
303,108913,81448.6,86504.3,5055.699999999997,-22408.699999999997,1,FUSE0,8,FUSE1,9,FUSE2,9,1,1,4,4
304,36122,23625.6,28041.7,4416.100000000002,-8080.299999999999,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,2,1
305,364868,334860.3083,342319.0083,7458.700000000012,-22548.991700000013,1,FUSE0,9,FUSE1,9,FUSE2,10,3,3,13,12
306,173213,145883.2,150996.7,5113.5,-22216.29999999999,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,6,6
307,455263,432106.7083,440460.2083,8353.5,-14802.791700000002,1,FUSE0,7,FUSE1,7,FUSE2,8,4,4,16,16
308,10436,740.0,5125.5,4385.5,-5310.5,3,FUSE0,9,FUSE1,9,FUSE2,9,1,1,1,1
309,239301,195560.7083,201314.6083,5753.899999999994,-37986.39170000001,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,8,7
310,493444,460867.5083,469007.0083,8139.5,-24436.991700000013,1,FUSE0,9,FUSE1,9,FUSE2,8,4,4,17,17
311,198381,162202.8353,168467.5,6264.664699999994,-29913.5,1,FUSE0,9,FUSE1,9,FUSE2,9,2,2,7,6
312,164275,131450.6,138332.3,6881.6999999999825,-25942.70000000001,1,FUSE0,9,FUSE1,10,FUSE2,10,2,1,6,5
313,155966,122142.1396,126894.5,4752.360400000005,-29071.5,2,FUSE0,10,FUSE1,10,FUSE2,9,1,1,5,5
314,80838,55240.0,59494.1,4254.0999999999985,-21343.9,2,FUSE0,7,FUSE1,7,FUSE2,8,1,1,3,3
315,409649,390281.5083,398488.1703,8206.662000000011,-11160.829700000002,2,FUSE0,7,FUSE1,7,FUSE2,8,3,3,15,14
316,18186,6864.6,10996.5,4131.9,-7189.5,2,FUSE0,7,FUSE1,7,FUSE2,7,1,1,1,1
317,81128,56587.8,61414.5,4826.699999999997,-19713.5,1,FUSE0,10,FUSE1,10,FUSE2,10,1,1,3,3
318,436180,412036.3083,420300.8083,8264.5,-15879.191700000025,3,FUSE0,9,FUSE1,9,FUSE2,10,3,3,15,15
319,205956,168165.8,174001.9,5836.100000000006,-31954.100000000006,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,7,7
320,77201,52535.6,56894.5,4358.9000000000015,-20306.5,3,FUSE0,8,FUSE1,8,FUSE2,9,1,1,3,2
321,464238,437767.9083,446335.4083,8567.5,-17902.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,7,4,4,16,16
322,368180,337993.5083,345191.8083,7198.299999999988,-22988.191700000025,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,13,12
323,460828,434768.3083,443397.8083,8629.5,-17430.191700000025,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,16,16
324,483921,450365.5037,459123.8083,8758.304599999974,-24797.191700000025,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,17,16
325,206233,169617.4,175776.3,6158.899999999994,-30456.70000000001,1,FUSE0,10,FUSE1,9,FUSE2,10,2,2,7,7
326,375678,345466.7083,352933.0083,7466.299999999988,-22744.991700000013,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,13,13
327,372561,340878.0353,348191.4083,7313.373000000021,-24369.59169999999,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,13,13
328,342061,307356.6,314503.0083,7146.40830000001,-27557.991700000013,3,FUSE0,7,FUSE1,7,FUSE2,8,3,3,12,11
329,429816,400812.0353,408888.6083,8076.573000000033,-20927.39169999998,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,15,15
330,497379,467022.3083,475123.0083,8100.700000000012,-22255.991700000013,1,FUSE0,9,FUSE1,9,FUSE2,8,4,4,17,17
331,312293,273134.8,279626.2083,6491.40830000001,-32666.7917,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,10,10
332,130804,99664.8,104469.5,4804.699999999997,-26334.5,2,FUSE0,10,FUSE1,10,FUSE2,11,1,1,4,4
333,89951,62876.4,67385.9,4509.499999999993,-22565.100000000006,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1,3,3
334,539153,515299.5083,523623.4083,8323.900000000023,-15529.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,19
335,323997,286017.1083,293028.6083,7011.5,-30968.39169999998,1,FUSE0,8,FUSE1,8,FUSE2,9,3,3,11,11
336,276805,220088.2,225942.2083,5854.008299999987,-50862.7917,2,FUSE0,8,FUSE1,8,FUSE2,9,2,2,9,8
337,66510,47009.8,51233.3,4223.5,-15276.699999999997,5,FUSE0,7,FUSE1,7,FUSE2,8,1,1,2,2
338,575794,547794.4353,556417.4083,8622.972999999998,-19376.59169999999,1,FUSE0,9,FUSE1,9,FUSE2,9,4,4,20,20
339,300230,251848.0353,257627.8083,5779.773000000016,-42602.191699999996,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,10,9
340,159835,127127.3396,131910.7,4783.360400000005,-27924.29999999999,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,5
341,387145,357338.3083,366208.6083,8870.300000000047,-20936.39169999998,4,FUSE0,7,FUSE1,7,FUSE2,7,3,3,13,13
342,346111,310403.9083,318051.8083,7647.899999999965,-28059.191700000025,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,12,12
343,334296,295190.8,301995.0083,6804.208299999998,-32300.991700000013,1,FUSE0,7,FUSE1,7,FUSE2,8,3,3,11,11
344,501282,469994.0353,478028.2083,8034.17300000001,-23253.7917,3,FUSE0,8,FUSE1,8,FUSE2,7,4,4,18,17
345,340023,304295.5083,311597.8083,7302.299999999988,-28425.191700000025,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,11,11
346,205010,165140.4353,171129.1,5988.664699999994,-33880.899999999994,2,FUSE0,9,FUSE1,9,FUSE2,8,2,2,7,6
347,126172,91891.2,96328.3,4437.100000000006,-29843.699999999997,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1,4,4
348,409400,388729.2353,396955.0083,8225.772999999986,-12444.991700000013,3,FUSE0,9,FUSE1,9,FUSE2,10,3,3,15,14
349,526999,502027.6353,512268.6083,10240.972999999998,-14730.391699999978,2,FUSE0,9,FUSE1,9,FUSE2,10,4,4,19,18
350,519978,490979.5994,499266.2083,8286.608899999992,-20711.7917,2,FUSE0,7,FUSE1,7,FUSE2,8,4,4,18,18
