start of run,run number,schedule_calculation,simulation_runtime
0.020639200000005076,1,24.102856099998462,13.036056400000234
0.025132900002063252,2,23.66149530000257,13.058672400002251
0.02253029999701539,3,23.711082000001625,13.568235099999583
0.021924200002104044,4,24.279317299999093,12.821504700001242
0.023043699999107048,5,24.250719100000424,12.821966399998928
0.02246730000115349,6,25.054136200000357,13.477387799997814
0.022291799999948125,7,24.39452870000241,13.278241399999388
0.024045400001341477,8,24.59705799999938,13.068822600002022
0.02236080000147922,9,24.2181582000012,13.125975599999947
0.021280900000419933,10,24.51445700000113,12.861407000000327
