station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,516260.9,34,1.000228,118.0839,517443.6,4382,0.944671,0.952349,,
2,Station 1.1: Bottom cover,491660.4,0.0,516334.9,34,0.962346,113.3121,496533.7,4382,0.944671,0.952212,,
3,Station 2: Drill station,516609.6,151.2,516760.8,13,6.61807,1254.2285,3664855.7,2922,0.992608,1.0,,
4,Station 2.1: Drill station,516432.8,191.2,516651.6,13,6.558713,1242.592,3629611.3,2921,0.992269,0.999947,,
5,Station 2.2: Drill station,516432.8,303.4,516736.2,13,6.577884,1247.12,3642837.5,2921,0.992269,1.0,,
6,Station 3: Robot cell,519126.0,367.0,519551.6,8,4.00114,1326.7746,2328489.4,1755,0.997443,0.999887,,
7,Station 3.1: Robot cell,519132.4,447.0,519650.2,8,3.911479,1308.8466,2291790.4,1751,0.997456,0.999864,,
8,Station 3.2: Robot cell,519071.6,599.2,519714.0,8,3.830479,1284.0534,2249661.6,1752,0.997339,0.999917,,
9,Station 3.3: Robot cell,518577.2,603.8,519461.2,8,3.785266,1265.0284,2215064.8,1751,0.996389,0.99946,,
10,Station 3.4: Robot cell,518480.8,800.6,519457.6,8,3.755556,1251.2025,2195860.4,1755,0.996204,0.99966,,
11,Station 4: Inspection,515793.6,649.6,519830.2,2,0.330825,95.2,417547.0,4386,0.991041,0.993476,,
12,Station 4.1: Inspection,514852.8,966.4,519939.0,2,0.269301,86.9707,380757.6,4378,0.989233,0.992062,,
13,Station 5: Top cover,509891.6,1300.2,520184.4,0,0.0,7.5916,22144.8,2917,0.979701,0.982669,,
14,Station 5.1: Top cover,510765.6,1015.8,520224.8,0,0.0,7.6798,22440.4,2922,0.98138,0.983738,,
15,Station 5.2: Top cover,511290.0,878.2,520087.2,0,0.0,8.1094,23720.0,2925,0.982387,0.984748,,
16,Station 6: Packaging,507964.0,1448.8,520456.6,0,0.0,37.2015,162905.2,4379,0.975997,0.978721,,
17,Station 6.1: Packaging,508660.0,1092.0,520379.4,0,0.0,37.3023,163570.6,4385,0.977334,0.979535,,
