kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2902
produced_units_fuse1,2898
produced_units_fuse2,2964
makespan_seconds,520456.6
average_cycle_time_seconds,59.2547
cycle_time_from_1_over_throughput_rate_seconds,59.3857
throughput_rate_per_second,0.016839
throughput_rate_per_hour,60.6206
average_throughput_time_seconds,4227.376
average_active_throughput_time_seconds,4227.376
average_throughput_efficiency,0.235429
total_wait_time_seconds,24425234.0
average_cycle_time_seconds_fuse0,178.5447
Active_average_cycle_time_seconds_fuse0,178.029
global_average_cycle_time_seconds_fuse0,178.029
average_cycle_time_seconds_fuse1,178.7535
Active_average_cycle_time_seconds_fuse1,178.4933
global_average_cycle_time_seconds_fuse1,178.4933
average_cycle_time_seconds_fuse2,174.8319
Active_average_cycle_time_seconds_fuse2,174.7239
global_average_cycle_time_seconds_fuse2,174.7239
utilization_overall_station_1_bottom_cover,0.944671
utilization_active_window_station_1_bottom_cover,0.952349
max_queue_station_1_bottom_cover,34
average_queue_station_1_bottom_cover,1.000228
average_wait_station_1_bottom_cover_seconds,118.0839
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.944671
utilization_active_window_station_1_1_bottom_cover,0.952212
max_queue_station_1_1_bottom_cover,34
average_queue_station_1_1_bottom_cover,0.962346
average_wait_station_1_1_bottom_cover_seconds,113.3121
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.992608
utilization_active_window_station_2_drill_station,1.0
max_queue_station_2_drill_station,13
average_queue_station_2_drill_station,6.61807
average_wait_station_2_drill_station_seconds,1254.2285
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.992269
utilization_active_window_station_2_1_drill_station,0.999947
max_queue_station_2_1_drill_station,13
average_queue_station_2_1_drill_station,6.558713
average_wait_station_2_1_drill_station_seconds,1242.592
availability_station_2_1_drill_station,1.0
utilization_overall_station_2_2_drill_station,0.992269
utilization_active_window_station_2_2_drill_station,1.0
max_queue_station_2_2_drill_station,13
average_queue_station_2_2_drill_station,6.577884
average_wait_station_2_2_drill_station_seconds,1247.12
availability_station_2_2_drill_station,1.0
utilization_overall_station_3_robot_cell,0.997443
utilization_active_window_station_3_robot_cell,0.999887
max_queue_station_3_robot_cell,8
average_queue_station_3_robot_cell,4.00114
average_wait_station_3_robot_cell_seconds,1326.7746
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.997456
utilization_active_window_station_3_1_robot_cell,0.999864
max_queue_station_3_1_robot_cell,8
average_queue_station_3_1_robot_cell,3.911479
average_wait_station_3_1_robot_cell_seconds,1308.8466
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.997339
utilization_active_window_station_3_2_robot_cell,0.999917
max_queue_station_3_2_robot_cell,8
average_queue_station_3_2_robot_cell,3.830479
average_wait_station_3_2_robot_cell_seconds,1284.0534
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.996389
utilization_active_window_station_3_3_robot_cell,0.99946
max_queue_station_3_3_robot_cell,8
average_queue_station_3_3_robot_cell,3.785266
average_wait_station_3_3_robot_cell_seconds,1265.0284
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.996204
utilization_active_window_station_3_4_robot_cell,0.99966
max_queue_station_3_4_robot_cell,8
average_queue_station_3_4_robot_cell,3.755556
average_wait_station_3_4_robot_cell_seconds,1251.2025
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.991041
utilization_active_window_station_4_inspection,0.993476
max_queue_station_4_inspection,2
average_queue_station_4_inspection,0.330825
average_wait_station_4_inspection_seconds,95.2
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.989233
utilization_active_window_station_4_1_inspection,0.992062
max_queue_station_4_1_inspection,2
average_queue_station_4_1_inspection,0.269301
average_wait_station_4_1_inspection_seconds,86.9707
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.979701
utilization_active_window_station_5_top_cover,0.982669
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,7.5916
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.98138
utilization_active_window_station_5_1_top_cover,0.983738
max_queue_station_5_1_top_cover,0
average_queue_station_5_1_top_cover,0.0
average_wait_station_5_1_top_cover_seconds,7.6798
availability_station_5_1_top_cover,1.0
utilization_overall_station_5_2_top_cover,0.982387
utilization_active_window_station_5_2_top_cover,0.984748
max_queue_station_5_2_top_cover,0
average_queue_station_5_2_top_cover,0.0
average_wait_station_5_2_top_cover_seconds,8.1094
availability_station_5_2_top_cover,1.0
utilization_overall_station_6_packaging,0.975997
utilization_active_window_station_6_packaging,0.978721
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,37.2015
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.977334
utilization_active_window_station_6_1_packaging,0.979535
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,37.3023
availability_station_6_1_packaging,1.0
order_qty_fuse0,2902
order_qty_fuse1,2898
order_qty_fuse2,2964
