material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9580,100000,9580,90420,0
Fuse,9664,100000,9664,90336,0
PCB,9580,100000,9580,90420,0
Top cover,9580,100000,9580,90420,0
