kpi_name,value
total_units_ordered,9580
produced_units_fuse0,3172
produced_units_fuse1,3152
produced_units_fuse2,3256
makespan_seconds,572864.5
average_cycle_time_seconds,59.7459
cycle_time_from_1_over_throughput_rate_seconds,59.798
throughput_rate_per_second,0.016723
throughput_rate_per_hour,60.2027
average_throughput_time_seconds,2819.3048
average_active_throughput_time_seconds,2819.2996
average_throughput_efficiency,0.137226
total_wait_time_seconds,21287812.2707
average_cycle_time_seconds_fuse0,180.068
Active_average_cycle_time_seconds_fuse0,175.9709
global_average_cycle_time_seconds_fuse0,175.9709
average_cycle_time_seconds_fuse1,181.2475
Active_average_cycle_time_seconds_fuse1,179.6323
global_average_cycle_time_seconds_fuse1,179.6323
average_cycle_time_seconds_fuse2,175.5327
Active_average_cycle_time_seconds_fuse2,174.3245
global_average_cycle_time_seconds_fuse2,174.3245
utilization_overall_station_1_bottom_cover,0.055762
utilization_active_window_station_1_bottom_cover,0.056082
max_queue_station_1_bottom_cover,22
average_queue_station_1_bottom_cover,0.06935
average_wait_station_1_bottom_cover_seconds,0.5265
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.055451
utilization_active_window_station_1_1_bottom_cover,0.055776
max_queue_station_1_1_bottom_cover,22
average_queue_station_1_1_bottom_cover,0.104193
average_wait_station_1_1_bottom_cover_seconds,0.783
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.167479
utilization_active_window_station_2_drill_station,0.168439
max_queue_station_2_drill_station,8
average_queue_station_2_drill_station,0.014828
average_wait_station_2_drill_station_seconds,1.6983
availability_station_2_drill_station,0.963382
utilization_overall_station_2_1_drill_station,0.013927
utilization_active_window_station_2_1_drill_station,0.014009
max_queue_station_2_1_drill_station,8
average_queue_station_2_1_drill_station,0.134115
average_wait_station_2_1_drill_station_seconds,1.7128
availability_station_2_1_drill_station,0.997207
utilization_overall_station_3_robot_cell,0.999451
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,13
average_queue_station_3_robot_cell,8.663337
average_wait_station_3_robot_cell_seconds,2758.7614
availability_station_3_robot_cell,0.990175
utilization_overall_station_3_1_robot_cell,0.999235
utilization_active_window_station_3_1_robot_cell,1.0
max_queue_station_3_1_robot_cell,12
average_queue_station_3_1_robot_cell,8.012432
average_wait_station_3_1_robot_cell_seconds,2531.7727
availability_station_3_1_robot_cell,0.993885
utilization_overall_station_3_2_robot_cell,0.998933
utilization_active_window_station_3_2_robot_cell,1.0
max_queue_station_3_2_robot_cell,13
average_queue_station_3_2_robot_cell,9.770418
average_wait_station_3_2_robot_cell_seconds,3057.1807
availability_station_3_2_robot_cell,0.993324
utilization_overall_station_3_3_robot_cell,0.997692
utilization_active_window_station_3_3_robot_cell,1.0
max_queue_station_3_3_robot_cell,9
average_queue_station_3_3_robot_cell,4.732338
average_wait_station_3_3_robot_cell_seconds,1548.3416
availability_station_3_3_robot_cell,0.994831
utilization_overall_station_3_4_robot_cell,0.995668
utilization_active_window_station_3_4_robot_cell,0.998919
max_queue_station_3_4_robot_cell,7
average_queue_station_3_4_robot_cell,1.847
average_wait_station_3_4_robot_cell_seconds,693.6485
availability_station_3_4_robot_cell,0.992773
utilization_overall_station_4_inspection,0.031897
utilization_active_window_station_4_inspection,0.031928
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.00024
average_wait_station_4_inspection_seconds,0.2031
availability_station_4_inspection,0.957436
utilization_overall_station_4_1_inspection,0.004613
utilization_active_window_station_4_1_inspection,0.004663
max_queue_station_4_1_inspection,0
average_queue_station_4_1_inspection,0.0
average_wait_station_4_1_inspection_seconds,0.0114
availability_station_4_1_inspection,0.996612
utilization_overall_station_5_top_cover,0.001702
utilization_active_window_station_5_top_cover,0.001775
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.025
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.083128
utilization_active_window_station_5_1_top_cover,0.083208
max_queue_station_5_1_top_cover,1
average_queue_station_5_1_top_cover,0.00064
average_wait_station_5_1_top_cover_seconds,1.1286
availability_station_5_1_top_cover,0.905011
utilization_overall_station_6_packaging,5.6e-05
utilization_active_window_station_6_packaging,0.00012
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.066856
utilization_active_window_station_6_1_packaging,0.066921
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0039
availability_station_6_1_packaging,0.999808
order_qty_fuse0,3172
order_qty_fuse1,3152
order_qty_fuse2,3256
