material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9291,100000,9291,90709,0
Fuse,9349,100000,9349,90651,0
PCB,9291,100000,9291,90709,0
Top cover,9291,100000,9291,90709,0
