station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,516364.9,34,1.004792,118.5362,519425.7,4382,0.94448,0.952157,,
2,Station 1.1: Bottom cover,491660.4,0.0,516439.7,34,0.947741,111.7444,489664.0,4382,0.94448,0.952019,,
3,Station 2: Drill station,516609.6,151.2,516760.8,13,6.255989,1193.9485,3488717.5,2922,0.992408,1.0,,
4,Station 2.1: Drill station,516432.8,191.2,516651.6,13,6.176994,1183.1027,3455843.1,2921,0.992068,0.999947,,
5,Station 2.2: Drill station,516432.8,303.4,516736.2,13,6.21431,1188.1168,3470489.1,2921,0.992068,1.0,,
6,Station 3: Robot cell,519370.0,367.0,519795.6,9,4.172748,1377.8209,2416697.8,1754,0.997711,0.999887,,
7,Station 3.1: Robot cell,519270.4,447.0,519802.4,9,4.116505,1365.9122,2391712.2,1751,0.997519,0.999836,,
8,Station 3.2: Robot cell,518859.2,599.2,519510.0,8,4.037736,1340.6318,2344765.0,1749,0.996729,0.999901,,
9,Station 3.3: Robot cell,518744.0,603.8,519599.6,8,4.015367,1329.196,2335397.4,1757,0.996508,0.999515,,
10,Station 3.4: Robot cell,518686.8,800.6,519666.8,9,3.945807,1309.2613,2295135.0,1753,0.996398,0.999654,,
11,Station 4: Inspection,516264.0,649.6,519952.2,2,0.356264,98.3401,431713.0,4390,0.991744,0.994149,,
12,Station 4.1: Inspection,514382.4,966.4,520041.0,2,0.290352,89.1706,390032.0,4374,0.988129,0.99096,,
13,Station 5: Top cover,509542.0,1300.2,520346.8,0,0.0,8.2835,24146.4,2915,0.978831,0.981688,,
14,Station 5.1: Top cover,510765.6,1015.8,520209.2,0,0.0,8.5882,25094.6,2922,0.981181,0.983768,,
15,Station 5.2: Top cover,511639.6,878.2,520277.2,0,0.0,9.0499,26489.0,2927,0.98286,0.985061,,
16,Station 6: Packaging,507616.0,1448.8,520561.8,0,0.0,37.031,162047.6,4376,0.975131,0.977853,,
17,Station 6.1: Packaging,509008.0,1092.0,520450.2,0,0.0,37.3577,163925.4,4388,0.977805,0.980071,,
