material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9206,100000,9206,90794,0
Fuse,9281,100000,9281,90719,0
PCB,9206,100000,9206,90794,0
Top cover,9206,100000,9206,90794,0
