order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
84,28061,16462.8,18976.7,2513.9000000000015,-9084.3,-0.007137300147036616,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1,1,1
85,47584,38581.2,40943.7,2362.5,-6640.300000000003,-0.0018445277777777787,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1,2,2
86,561442,506687.6,509257.1,2569.5,-52184.90000000002,-0.04100032962837987,2,FUSE0,9,FUSE1,9,FUSE2,10,4,4,20,3
87,106509,88504.0,90708.9,2204.899999999994,-15800.100000000006,-0.004388916666666669,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1,4,4
88,550515,459680.8,462325.9,2645.100000000035,-88189.09999999998,-0.06928790070748728,2,FUSE0,9,FUSE1,9,FUSE2,8,4,4,19,2
89,117732,114879.8,117357.5,2477.699999999997,-374.5,-0.00010402777777777778,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,5
90,521462,468465.6,470986.7,2521.100000000035,-50475.29999999999,-0.014020916666666662,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,18,2
91,53792,41461.4,43857.3,2395.9000000000015,-9934.699999999997,-0.0027596388888888883,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,2,2
92,521895,474632.8,477229.5,2596.7000000000116,-44665.5,-0.012407083333333332,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,18,2
93,136517,82447.0,84680.3,2233.300000000003,-51836.7,-0.07481983174725468,3,FUSE0,7,FUSE1,7,FUSE2,7,1,1,5,3
94,194500,123357.4,125807.1,2449.7000000000116,-68692.9,-0.05397023934374377,2,FUSE0,9,FUSE1,9,FUSE2,8,2,1,6,5
95,267034,248975.2,251223.7,2248.5,-15810.299999999988,-0.004391749999999996,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,10,4
96,428107,374414.4,376835.3,2420.899999999965,-51271.70000000001,-0.014242138888888893,1,FUSE0,8,FUSE1,8,FUSE2,7,3,3,15,4
97,189842,145792.0,147973.3,2181.2999999999884,-41868.70000000001,-0.011630194444444446,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,6,1
