order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,13111,5652.9,9287.0,3634.1000000000004,-3824.0,-0.008497777777777778,4,FUSE0,10,FUSE1,10,FUSE2,9,1,1,1,1
2,25746,20688.1326,24414.8326,3726.7000000000007,-1331.1673999999985,-0.0010458638838160715,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1,1,1
3,15346,10310.7,13415.5,3104.7999999999993,-1930.5,-0.00053625,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,1,1
4,323894,352871.301,356346.001,3474.7000000000116,32452.00099999999,1610.6344938805178,2,FUSE0,8,FUSE1,8,FUSE2,9,3,3,12,3
5,9710,0.0,5997.8,5997.8,-3712.2,-0.0010311666666666666,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1,1,1
6,88839,85770.4576,89281.7576,3511.300000000003,442.7575999999972,49.34686044961012,4,FUSE0,7,FUSE1,7,FUSE2,8,1,1,3,4
7,96008,91524.9036,96155.0036,4630.099999999991,147.00359999999637,22.85040537618886,5,FUSE0,9,FUSE1,9,FUSE2,9,1,1,3,4
8,452803,485194.6437,488659.3361,3464.6924,35856.336100000015,645.4348043672255,1,FUSE0,9,FUSE1,9,FUSE2,10,4,4,17,2
9,255134,272142.4835,275610.5835,3468.100000000035,20476.583500000008,328.9604140977598,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,9,5
10,204323,227296.2517,230750.0517,3453.8000000000175,26427.05170000001,1254.2917427193177,2,FUSE0,9,FUSE1,9,FUSE2,9,2,2,8,4
11,262355,277591.3835,282799.0835,5207.700000000012,20444.083500000008,328.36067150181793,1,FUSE0,10,FUSE1,10,FUSE2,10,2,2,10,5
12,537821,568321.2243,573612.4266,5291.2023000000045,35791.426600000006,1821.371527465546,2,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,5
13,408074,435255.1999,439324.5292,4069.329299999983,31250.52919999999,2823.968992202593,3,FUSE0,8,FUSE1,7,FUSE2,8,3,4,15,1
14,106927,103836.4334,107112.0896,3275.656200000012,185.0896000000066,2.57399594276575,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,4
15,197946,217470.7517,221594.1517,4123.399999999994,23648.151699999988,388.80900843172503,1,FUSE0,10,FUSE1,9,FUSE2,9,2,2,7,3
16,131233,131811.6896,135144.3896,3332.6999999999825,3911.389599999995,55.82753789116701,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,5,5
17,247862,263136.0835,266628.3835,3492.2999999999884,18766.383499999996,842.2090296506117,2,FUSE0,9,FUSE1,9,FUSE2,9,2,2,9,5
18,220782,245022.6517,248514.3517,3491.7000000000116,27732.3517,469.86645744564106,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,8,4
19,48749,33150.3326,36255.4326,3105.0999999999985,-12493.5674,-0.003470435388888889,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,2,2
20,217663,238280.2517,242987.0517,4706.8000000000175,25324.05170000001,421.51462470726585,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,8,4
21,463214,492693.0361,496562.6361,3869.5999999999767,33348.6361,1666.2609524289646,2,FUSE0,9,FUSE1,9,FUSE2,9,4,4,17,3
22,564753,600801.767,604331.667,3529.9000000000233,39578.667000000016,2072.5004059074718,2,FUSE0,10,FUSE1,10,FUSE2,9,4,5,20,1
23,349665,389501.2999,392758.5208,3257.220900000015,43093.5208,819.4261009655735,1,FUSE0,8,FUSE1,7,FUSE2,8,3,3,13,4
24,476101,510644.9361,513985.2361,3340.2999999999884,37884.23609999998,692.4377510439148,1,FUSE0,9,FUSE1,8,FUSE2,9,4,4,17,3
25,294610,310230.8214,318449.8721,8219.050699999963,23839.87209999998,1110.1916834771862,2,FUSE0,9,FUSE1,9,FUSE2,9,3,3,11,2
26,541871,573643.7266,577630.267,3986.54039999994,35759.26699999999,5145.743628544842,4,FUSE0,7,FUSE1,7,FUSE2,8,4,5,19,1
27,101759,97459.9334,101033.1036,3573.1702000000078,-725.8963999999978,-0.00020163788888888828,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,4,4
28,312043,332538.5948,337138.0721,4599.47729999997,25095.07209999999,417.00100231107064,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,11,2
29,137182,137938.9896,141317.6896,3378.7000000000116,4135.689600000012,167.22188001653433,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,5
30,174263,192117.8287,195770.2339,3652.4051999999792,21507.233899999992,2784.9659602551055,4,FUSE0,8,FUSE1,8,FUSE2,9,2,2,7,2
31,106310,100432.8036,104409.2338,3976.4302000000025,-1900.7661999999982,-0.0014933829660779825,2,FUSE0,8,FUSE1,8,FUSE2,8,1,1,4,4
