kpi_name,value
total_units_ordered,9277
produced_units_fuse0,3069
produced_units_fuse1,3061
produced_units_fuse2,3147
makespan_seconds,587084.2025
average_cycle_time_seconds,63.2305
cycle_time_from_1_over_throughput_rate_seconds,63.2838
throughput_rate_per_second,0.015802
throughput_rate_per_hour,56.8866
average_throughput_time_seconds,980.244
average_active_throughput_time_seconds,980.2372
average_throughput_efficiency,0.355745
total_wait_time_seconds,2712109.7102
average_cycle_time_seconds_fuse0,190.7558
Active_average_cycle_time_seconds_fuse0,170.4139
global_average_cycle_time_seconds_fuse0,170.4139
average_cycle_time_seconds_fuse1,191.3052
Active_average_cycle_time_seconds_fuse1,172.649
global_average_cycle_time_seconds_fuse1,172.649
average_cycle_time_seconds_fuse2,186.1344
Active_average_cycle_time_seconds_fuse2,172.8547
global_average_cycle_time_seconds_fuse2,172.8547
utilization_overall_station_1_bottom_cover,0.06377
utilization_active_window_station_1_bottom_cover,0.063903
max_queue_station_1_bottom_cover,12
average_queue_station_1_bottom_cover,0.048172
average_wait_station_1_bottom_cover_seconds,12.7373
availability_station_1_bottom_cover,0.818824
utilization_overall_station_1_1_bottom_cover,0.058544
utilization_active_window_station_1_1_bottom_cover,0.058657
max_queue_station_1_1_bottom_cover,11
average_queue_station_1_1_bottom_cover,0.033168
average_wait_station_1_1_bottom_cover_seconds,6.4806
availability_station_1_1_bottom_cover,0.890239
utilization_overall_station_2_drill_station,0.169324
utilization_active_window_station_2_drill_station,0.169644
max_queue_station_2_drill_station,14
average_queue_station_2_drill_station,0.063125
average_wait_station_2_drill_station_seconds,14.7627
availability_station_2_drill_station,0.907983
utilization_overall_station_2_1_drill_station,0.020956
utilization_active_window_station_2_1_drill_station,0.021095
max_queue_station_2_1_drill_station,2
average_queue_station_2_1_drill_station,0.008251
average_wait_station_2_1_drill_station_seconds,10.0102
availability_station_2_1_drill_station,0.511429
utilization_overall_station_3_robot_cell,0.939606
utilization_active_window_station_3_robot_cell,0.940898
max_queue_station_3_robot_cell,4
average_queue_station_3_robot_cell,0.397933
average_wait_station_3_robot_cell_seconds,270.5281
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.950493
utilization_active_window_station_3_1_robot_cell,0.951495
max_queue_station_3_1_robot_cell,13
average_queue_station_3_1_robot_cell,0.299323
average_wait_station_3_1_robot_cell_seconds,287.3408
availability_station_3_1_robot_cell,0.983925
utilization_overall_station_3_2_robot_cell,0.949528
utilization_active_window_station_3_2_robot_cell,0.950789
max_queue_station_3_2_robot_cell,12
average_queue_station_3_2_robot_cell,0.463289
average_wait_station_3_2_robot_cell_seconds,316.9101
availability_station_3_2_robot_cell,0.987072
utilization_overall_station_3_3_robot_cell,0.934395
utilization_active_window_station_3_3_robot_cell,0.935384
max_queue_station_3_3_robot_cell,2
average_queue_station_3_3_robot_cell,0.076443
average_wait_station_3_3_robot_cell_seconds,151.4163
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.933666
utilization_active_window_station_3_4_robot_cell,0.934513
max_queue_station_3_4_robot_cell,2
average_queue_station_3_4_robot_cell,0.185804
average_wait_station_3_4_robot_cell_seconds,182.7688
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.037498
utilization_active_window_station_4_inspection,0.037534
max_queue_station_4_inspection,13
average_queue_station_4_inspection,0.023131
average_wait_station_4_inspection_seconds,7.3277
availability_station_4_inspection,0.779157
utilization_overall_station_4_1_inspection,0.007862
utilization_active_window_station_4_1_inspection,0.007992
max_queue_station_4_1_inspection,4
average_queue_station_4_1_inspection,0.008961
average_wait_station_4_1_inspection_seconds,6.3933
availability_station_4_1_inspection,0.506553
utilization_overall_station_5_top_cover,0.003952
utilization_active_window_station_5_top_cover,0.004981
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,18.9261
availability_station_5_top_cover,0.194324
utilization_overall_station_5_1_top_cover,0.084072
utilization_active_window_station_5_1_top_cover,0.084152
max_queue_station_5_1_top_cover,14
average_queue_station_5_1_top_cover,0.047764
average_wait_station_5_1_top_cover_seconds,9.7604
availability_station_5_1_top_cover,0.855709
utilization_overall_station_6_packaging,9.5e-05
utilization_active_window_station_6_packaging,0.000208
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.063148
utilization_active_window_station_6_1_packaging,0.063208
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0029
availability_station_6_1_packaging,0.999537
order_qty_fuse0,3069
order_qty_fuse1,3061
order_qty_fuse2,3147
total fitness,82409.36533922933
