station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,516539.5,34,1.019603,120.2816,527675.2,4387,0.943297,0.951835,,
2,Station 1.1: Bottom cover,491660.4,0.0,516616.7,34,0.961267,113.5465,498355.8,4389,0.943297,0.951693,,
3,Station 2: Drill station,516963.2,151.2,517114.4,13,7.192767,1352.8258,3965132.3,2931,0.991843,1.0,,
4,Station 2.1: Drill station,516963.2,191.2,517182.0,13,7.716479,1464.8144,4293371.0,2931,0.991843,0.999947,,
5,Station 2.2: Drill station,515548.8,303.4,516842.9,13,4.27506,829.7393,2425327.9,2923,0.989129,0.998082,,
6,Station 3: Robot cell,520192.0,367.0,520617.6,11,4.627407,1516.7113,2678512.2,1766,0.998037,0.999887,,
7,Station 3.1: Robot cell,519915.6,447.0,520433.4,11,5.311652,1709.5447,3022475.1,1768,0.997507,0.999864,,
8,Station 3.2: Robot cell,519729.2,599.2,520384.0,10,4.228717,1393.9083,2456066.4,1762,0.997149,0.999893,,
9,Station 3.3: Robot cell,518623.2,603.8,519526.8,7,3.853798,1292.7743,2263647.8,1751,0.995027,0.999422,,
10,Station 3.4: Robot cell,517128.4,800.6,518215.2,4,1.961187,723.5466,1267653.6,1752,0.992159,0.999447,,
11,Station 4: Inspection,515676.0,649.6,520774.2,2,0.246357,84.511,371172.4,4392,0.989373,0.991447,,
12,Station 4.1: Inspection,514970.4,966.4,520630.0,2,0.217738,80.2259,351870.6,4386,0.988019,0.990969,,
13,Station 5: Top cover,508318.4,1300.2,519986.6,0,0.0,9.2417,26939.6,2915,0.975257,0.980011,,
14,Station 5.1: Top cover,511115.2,1015.8,520916.8,0,0.0,9.7133,28469.6,2931,0.980623,0.983101,,
15,Station 5.2: Top cover,512513.6,878.2,521060.0,0,0.0,13.1554,38650.6,2938,0.983306,0.985259,,
16,Station 6: Packaging,507384.0,1448.8,521111.8,0,0.0,36.5601,160169.8,4381,0.973464,0.976371,,
17,Station 6.1: Packaging,509240.0,1092.0,521215.0,1,0.002502,37.4208,164501.8,4396,0.977025,0.979076,,
