order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,13111,3803.0,6437.9,2634.8999999999996,-6673.1,-0.014829111111111112,4,FUSE0,10,FUSE1,10,FUSE2,9,1,1,1,1
2,25746,17561.2,20144.5,2583.2999999999993,-5601.5,-0.004400954038684941,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1,1,1
3,15346,8395.4,10656.7,2261.300000000001,-4689.299999999999,-0.0013025833333333333,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,1,1
4,323894,294853.6,297334.7,2481.100000000035,-26559.29999999999,-0.020866956815075405,2,FUSE0,8,FUSE1,8,FUSE2,9,3,3,12,1
5,9710,1112.2,3287.7,2175.5,-6422.3,-0.0017839722222222224,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1,1,1
6,88839,70372.8,72601.5,2228.699999999997,-16237.5,-0.036083333333333335,4,FUSE0,7,FUSE1,7,FUSE2,8,1,1,3,3
7,96008,74197.6,76704.1,2506.5,-19303.899999999994,-0.05995115643174747,5,FUSE0,9,FUSE1,9,FUSE2,9,1,1,3,3
8,452803,413989.2,416625.3,2636.0999999999767,-36177.70000000001,-0.010049361111111115,1,FUSE0,9,FUSE1,9,FUSE2,10,4,3,17,5
9,255134,227587.2,229981.5,2394.2999999999884,-25152.5,-0.006986805555555556,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,9,3
10,204323,188966.4,191476.3,2509.899999999994,-12846.700000000012,-0.010093320762076922,2,FUSE0,9,FUSE1,9,FUSE2,9,2,2,8,2
11,262355,232910.4,235635.1,2724.7000000000116,-26719.899999999994,-0.007422194444444443,1,FUSE0,10,FUSE1,10,FUSE2,10,2,2,10,4
12,537821,485163.2,487574.9,2411.7000000000116,-50246.09999999998,-0.03947706448686375,2,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,2
13,408074,372872.8,375093.9,2221.100000000035,-32980.09999999998,-0.04760267403225191,3,FUSE0,8,FUSE1,7,FUSE2,8,3,3,15,4
14,106927,84987.2,87468.3,2481.100000000006,-19458.699999999997,-0.005405194444444444,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,4
15,197946,179550.2,182204.3,2654.0999999999767,-15741.700000000012,-0.004372694444444447,1,FUSE0,10,FUSE1,9,FUSE2,9,2,2,7,2
16,131233,111333.0,113840.7,2507.699999999997,-17392.300000000003,-0.004831194444444446,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,5,4
17,247862,220055.8,222640.3,2584.5,-25221.70000000001,-0.019816039003391954,2,FUSE0,9,FUSE1,9,FUSE2,9,2,2,9,3
18,220782,203743.2,206175.9,2432.6999999999825,-14606.100000000006,-0.004057250000000002,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,8,3
19,48749,28189.8,30499.9,2310.100000000002,-18249.1,-0.005069194444444445,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,2,2
20,217663,198420.0,200876.5,2456.5,-16786.5,-0.004662916666666667,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,8,2
21,463214,421368.0,423889.1,2521.0999999999767,-39324.90000000002,-0.030896559399425427,2,FUSE0,9,FUSE1,9,FUSE2,9,4,3,17,5
22,564753,515228.6,517926.7,2698.100000000035,-46826.29999999999,-0.03679021585319514,2,FUSE0,10,FUSE1,10,FUSE2,9,4,4,20,3
23,349665,328863.0,331157.1,2294.0999999999767,-18507.900000000023,-0.0051410833333333395,1,FUSE0,8,FUSE1,7,FUSE2,8,3,3,13,2
24,476101,436042.4,438502.9,2460.5,-37598.09999999998,-0.01044391666666666,1,FUSE0,9,FUSE1,8,FUSE2,9,4,4,17,1
25,294610,257809.6,260359.9,2550.2999999999884,-34250.100000000006,-0.026909419962574867,2,FUSE0,9,FUSE1,9,FUSE2,9,3,2,11,5
