station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,524044.0243,0.0,553462.9757,34,1.156738,139.17,658830.5753,4734,0.935754,0.946846,,
2,Station 1.1: Bottom cover,523679.5467,0.0,553504.9757,34,0.459072,59.9021,283935.9011,4740,0.935104,0.946115,,
3,Station 2: Drill station,553725.6719,151.2,554222.6757,17,5.910987,1137.112,3653540.8481,3213,0.988755,0.999376,,
4,Station 2.1: Drill station,552702.8551,191.2,554475.647,22,8.078076,1533.1947,4909289.4024,3202,0.986929,0.997147,,
5,Station 2.2: Drill station,549300.3317,303.4,554133.4757,18,4.008174,797.149,2535731.0666,3181,0.980853,0.991821,,
6,Station 3: Robot cell,558844.4,367.0,559425.6115,21,8.862883,2761.0038,5497158.5952,1991,0.997895,0.999617,,
7,Station 3.1: Robot cell,557482.0,447.0,558298.4115,15,4.366482,1445.2403,2863021.0486,1981,0.995463,0.999338,,
8,Station 3.2: Robot cell,553968.3032,599.2,555384.247,8,2.397127,888.1299,1730965.1314,1949,0.989188,0.998528,,
9,Station 3.3: Robot cell,551649.7169,603.8,555404.647,6,1.089094,476.4597,930525.7804,1953,0.985048,0.99432,,
10,Station 3.4: Robot cell,543145.8973,800.6,554666.4757,4,0.602083,319.3991,613246.3244,1920,0.969864,0.980645,,
11,Station 4: Inspection,553541.6618,649.6,559582.2115,8,1.647931,253.9701,1215500.9218,4786,0.988427,0.990355,,
12,Station 4.1: Inspection,545177.3529,966.4,557819.0115,10,1.200085,199.0737,938234.3144,4713,0.973491,0.979033,,
13,Station 5: Top cover,534263.58,1431.8,555990.4757,4,0.272089,86.5997,271490.0536,3135,0.954003,0.963403,,
14,Station 5.1: Top cover,545499.4746,1015.8,558906.4115,3,0.160948,67.5036,216416.599,3206,0.974066,0.977789,,
15,Station 5.2: Top cover,552956.5631,878.2,559868.0115,5,0.852641,222.4909,720203.2016,3237,0.987382,0.989207,,
16,Station 6: Packaging,537342.6462,1448.8,558299.8115,6,0.142494,53.6342,253314.401,4723,0.959501,0.964967,,
17,Station 6.1: Packaging,542631.6496,1092.0,560023.0115,4,0.169958,61.7337,293852.6499,4760,0.968945,0.970838,,
